IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.563612,6.99935,5.97978,18.7134,1.19741,5.69344,0.079405,3.17206,client_001.txt
0.641346,4.11881,8.98425,5.74353,2.19496,3.07065,0.16288,1.03424,client_002.txt
0.623625,6.63727,9.62862,8.17024,1.65075,2.1949,0.07213,3.83207,client_003.txt
0.546897,9.94172,12.2391,19.1277,2.47523,6.2348,0.454495,5.72557,client_006.txt
0.543073,4.81935,16.1161,21.9083,2.69114,5.92628,0.08675,2.93019,client_007.txt
0.458794,7.92927,21.4894,28.2611,4.99641,15.231,0.155495,2.79511,client_008.txt
0.613234,9.43369,9.71386,9.4089,2.0866,5.87798,0.588255,5.02241,server_001.txt
0.665888,0.42005,14.7161,0.418955,4.94399,4.59449,0.00694,0.29454,server_002.txt
0.367759,17.8289,19.2066,18.5016,3.12486,9.3246,1.64611,3.64889,server_003.txt
0.353575,16.7786,19.8355,73.9577,3.28187,30.3083,2.02604,2.16384,server_004.txt
0.394803,18.639,22.4361,48.9637,3.56161,23.5463,2.04993,1.46282,server_009.txt
0.406331,19.8812,23.6858,35.8335,3.7471,19.3401,2.2131,1.3966,server_010.txt
0.406305,20.1656,24.3413,15.0626,3.8064,11.8738,2.12737,1.97066,server_011.txt
0.428034,20.7713,25.2905,14.7059,4.0271,12.5101,2.27883,1.4541,server_012.txt
0.414724,21.6637,26.2724,14.8967,4.11348,12.757,2.31813,1.65451,server_013.txt
0.63566,1.07849,28.5116,1.04764,7.9515,3.3898,0.017475,0.758885,server_014.txt
0.649709,0.002575,29.9477,0.430715,8.43077,3.7187,2.5,0.00097,server_015.txt
0.380083,6.70503,36.8761,17.3667,7.05104,6.85434,0.038875,0.59782,server_016.txt
0.453104,34.8173,42.3136,36.2702,7.0933,8.10826,0.970455,34.3875,server_017.txt
0.463338,34.9785,42.2897,36.556,7.08015,8.03232,0.735395,29.0308,server_018.txt
0.456921,35.3017,42.5071,37.0686,7.14782,7.98536,0.84571,31.517,server_019.txt
0.501947,34.7686,44.6065,36.5197,7.46267,7.84654,0.612505,32.3356,server_020.txt
0.520062,34.7848,45.4011,37.4432,7.6713,7.49199,0.37428,30.9115,server_021.txt
0.521543,34.6845,45.646,36.622,7.71359,7.61806,0.36503,31.496,server_022.txt
0.336634,8.8836,47.3417,22.3641,9.04199,8.88283,0.05447,0.820225,server_023.txt
0.333305,9.54241,48.0783,22.5018,9.13976,8.94886,0.056955,0.80854,server_024.txt
0.321819,8.0271,49.7613,21.7108,9.55165,8.8425,0.04433,0.46337,server_025.txt
0.311733,8.80092,52.6387,23.8479,10.0561,9.18225,0.03984,0.40809,server_026.txt
