IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,File
0.301354,53.459,38.5211,14.5191,0.193395,10.2656,9.22815,0.05054,srv_26.txt
0.433794,42.3136,32.9168,32.5837,32.8599,7.0933,8.11034,0.97049,hashed_perceptron-no-ucb-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---server_017.txt
0.450931,25.0763,24.2743,22.8499,1.89273,3.94904,12.8766,1.77798,srv_6.txt
0.510778,45.295,41.6688,36.1714,32.3274,7.67502,7.56859,0.40041,srv_36.txt
0.399615,23.7205,23.3597,21.3039,3.05146,4.45493,5.23692,0.48298,srv_51.txt
0.325406,49.5149,30.4521,10.682,0.126305,9.49081,9.26922,0.050185,srv_12.txt
0.345786,32.1157,22.8414,19.8896,1.18426,6.31199,6.27985,0.457205,srv_53.txt
0.415587,24.9519,24.1898,16.4286,3.05285,6.58141,6.18655,0.290315,srv_46.txt
0.635005,28.5116,1.04301,1.0693,0.74613,7.95149,3.38985,0.017455,server_014.txt
0.498589,45.2552,41.1981,36.3063,31.7674,7.65623,7.63609,0.392415,srv_76.txt
0.544509,16.1161,26.1928,4.45732,2.73465,2.69114,5.92254,0.086825,client_007.txt
0.566405,71.6771,1.54913,0.396435,0.25948,9.23802,4.57496,0.00736,server_036.txt
0.49166,44.6065,41.5233,36.3011,32.5566,7.46267,7.84781,0.61962,server_020.txt
0.72005,3.16264,3.77182,3.3889,2.15913,0.529665,8.99285,0.438675,srv_28.txt
0.249917,65.7686,45.6241,21.1516,1.87548,13.7391,12.292,0.543615,srv_45.txt
0.304537,55.8936,28.4752,6.13241,0.60365,11.0051,10.4741,0.27065,server_029.txt
0.40625,24.3413,20.6848,23.0209,1.95057,3.8064,11.8703,2.13769,server_011.txt
0.374717,62.9063,28.6794,6.09173,0.60946,10.1307,8.50565,0.08294,server_033.txt
0.37341,3.46254,131.774,9.82911,7.79723,0.70056,42.547,0.50926,srv_9.txt
0.292402,61.0081,39.5095,8.3982,0.00592,12.1334,9.86392,0.00643,srv_16.txt
0.381546,62.9755,27.2116,2.40252,0.03583,10.1618,7.93729,0.01337,server_034.txt
0.653359,6.34211,17.7665,10.383,8.30049,1.32745,1.57294,0.244485,srv_40.txt
0.355526,63.9321,31.1588,5.64135,4.31843,10.2213,8.6157,0.17186,server_035.txt
0.417011,25.8239,20.5153,24.5687,1.67114,4.0192,12.7533,2.27903,srv_0.txt
0.503545,45.6485,44.088,37.371,32.7327,7.71077,7.54241,0.390485,srv_34.txt
0.404199,26.2725,23.5646,26.6053,1.7827,4.11348,12.7555,2.36844,server_013.txt
0.252401,0.000145,23.9954,17.83,17.8235,0.33067,0.33067,0.305315,602.gcc_s-1850B.txt
0.430168,25.4658,20.492,22.6248,1.90125,4.09023,11.8289,2.12667,srv_7.txt
0.46243,25.1088,20.2312,19.7805,1.78479,3.96569,12.8953,1.63511,srv_67.txt
0.634671,8.98424,6.49501,4.1171,0.977445,2.19496,3.07037,0.15592,client_002.txt
,,,,,,,,srv_65.txt
0.432019,21.3978,20.2264,16.0963,3.61855,5.2034,5.28148,0.514735,srv_49.txt
0.722016,3.19185,3.59753,3.27158,2.02506,0.53352,9.04476,0.4357,srv_31.txt
0.638544,9.6805,9.37646,3.57072,0.002475,2.60026,3.2575,0.002655,srv_58.txt
0.340981,17.1107,131.325,17.6951,1.28343,2.69738,44.9833,1.58074,srv_11.txt
0.410884,26.0549,22.576,25.7033,1.67864,4.11016,12.7126,2.29882,srv_61.txt
0.460296,21.4894,39.0697,7.97887,2.66098,4.99641,15.2226,0.15702,client_008.txt
0.428933,21.4026,21.987,17.6242,4.23557,5.24285,5.17634,0.42952,srv_48.txt
0.408484,26.3265,22.1325,26.324,1.67397,4.12148,12.9028,2.53466,srv_60.txt
0.414862,25.6591,23.8335,16.1615,2.82369,6.75006,6.30171,0.33409,srv_47.txt
0.454706,25.4865,20.5925,20.4354,1.80859,3.97637,12.9507,1.59064,srv_4.txt
,,,,,,,,script_for_rename.sh
0.443631,42.3136,40.6682,36.3907,34.8177,7.0933,8.10519,0.98372,server_017.txt
0.303095,57.4395,42.7964,9.18548,0.06288,11.3581,10.2908,0.143635,srv_71.txt
0.388639,25.5391,24.7813,22.7479,3.3711,4.79754,5.02455,0.4677,srv_50.txt
0.303289,56.4714,41.3944,9.98014,0.01919,11.1172,10.0167,0.137285,srv_14.txt
,,,,,,,,info_extractor.py
0.444037,42.5071,41.4115,36.7626,28.7048,7.14782,7.98253,0.855555,server_019.txt
0.410875,25.2938,24.1301,25.8545,2.20705,4.07732,12.3101,2.3382,srv_69.txt
0.454094,25.5228,20.2787,20.3519,1.74163,3.85073,11.9064,1.65962,srv_3.txt
0.506133,16.4163,15.4852,13.1114,2.27962,2.99563,3.12537,0.41212,srv_54.txt
0.306987,56.7243,24.8771,5.65477,0.239265,11.1786,10.5612,0.31075,srv_19.txt
0.301219,60.6236,21.9979,3.21933,0.004115,12.0737,9.85397,0.006115,srv_72.txt
0.458935,25.1923,20.4211,20.3496,1.83156,3.96881,12.8449,1.71532,srv_66.txt
0.323211,49.7613,18.7925,6.58559,0.356755,9.55165,8.84251,0.044275,server_025.txt
0.724112,3.28732,3.8632,3.50852,2.06367,0.547285,9.04156,0.440265,srv_29.txt
0.61062,9.62862,10.71,7.05242,3.92617,1.65075,2.1951,0.07434,client_003.txt
0.388567,22.4361,55.8889,21.3405,1.47615,3.56161,23.5465,2.065,server_009.txt
0.455806,25.7573,22.4185,21.4417,1.75737,4.03885,13.0676,1.60853,srv_5.txt
0.324389,48.0783,35.0874,14.8576,0.9419,9.13976,8.949,0.0689,server_024.txt
0.606401,11.2106,9.45963,3.72285,0.002645,3.00709,3.52753,0.003545,srv_59.txt
0.724924,3.21889,3.67218,3.36386,2.00929,0.53748,9.03215,0.43599,srv_30.txt
0.298151,60.6055,35.0163,5.46607,0.022145,12.071,9.80485,0.00634,server_032.txt
0.595781,13.1988,11.7547,4.6991,0.80473,4.0865,4.50089,0.26478,srv_56.txt
0.649887,29.9477,0.33825,0.001775,0.000395,8.43077,3.7187,2.5,server_015.txt
0.350918,19.8355,81.4149,19.0704,2.13265,3.28187,30.3437,2.03561,server_004.txt
0.36361,19.2066,22.025,19.2378,3.56414,3.12486,9.32574,1.65436,server_003.txt
0.300108,60.6554,22.2339,3.46997,0.00399,12.0808,9.8295,0.007465,srv_17.txt
0.442572,25.6464,24.0509,23.0091,1.90972,3.87377,12.8367,1.73126,srv_62.txt
0.596027,12.6251,11.5631,5.26437,1.27756,4.18903,4.69758,0.36819,srv_57.txt
0.252358,0.000145,24.0187,17.8295,17.8237,0.33067,0.33067,0.30536,hashed_perceptron-no-ucb-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-1850B.txt
0.507806,45.4011,41.5807,36.1035,31.4133,7.6713,7.49381,0.378825,server_021.txt
0.319382,42.2919,38.6648,28.8021,0.921415,8.25389,9.10931,0.59902,srv_42.txt
0.307636,55.7347,28.6335,6.59545,0.248965,10.9349,10.3574,0.27721,srv_18.txt
0.546507,5.97978,10.2461,5.30012,2.511,1.19741,5.69098,0.079485,client_001.txt
0.500073,45.646,41.0108,36.2676,30.8793,7.71359,7.6152,0.368285,server_022.txt
0.525289,45.5251,42.714,36.5344,32.0605,7.70153,7.58577,0.394465,srv_39.txt
0.300166,57.5073,36.7828,8.79551,0.879865,11.3207,10.7225,0.27956,server_031.txt
0.731219,3.0373,3.42599,3.17898,1.73177,0.51147,8.89925,0.431855,srv_27.txt
0.304484,53.0825,32.9757,13.0073,0.14048,10.1684,9.20909,0.0437,srv_20.txt
0.422412,25.2172,20.6842,24.1766,1.34312,3.97169,12.5735,2.32409,srv_10.txt
0.300082,57.5038,37.5119,9.36758,0.562975,11.3171,10.7891,0.28726,srv_25.txt
0.248139,61.6364,55.0205,30.4921,3.33982,12.8551,11.4562,0.543145,srv_44.txt
0.304036,55.4185,42.1486,9.79714,0.823015,10.946,10.411,0.38944,server_028.txt
0.496131,77.1925,18.4841,5.05595,0.589405,12.4636,9.98077,0.11582,server_038.txt
0.582138,11.0312,8.35265,9.3213,3.86749,2.29307,6.8455,0.758,srv_8.txt
0.501105,77.0508,20.9814,5.86699,0.26483,12.4323,10.0726,0.113875,srv_32.txt
0.30038,56.0951,39.1035,11.2861,0.854375,11.0678,10.644,0.32759,srv_73.txt
0.324294,48.5513,34.6623,13.8282,0.21946,9.27945,8.9735,0.054765,srv_22.txt
