IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,File
0.306159,53.459,32.1229,12.6635,0.22716,10.2656,9.22884,0.05158,srv_26.txt
0.454866,25.0763,21.1713,21.7614,1.95531,3.94904,12.8769,1.72802,srv_6.txt
0.510014,45.295,41.9824,36.3419,32.9317,7.67502,7.56675,0.40057,srv_36.txt
0.412616,23.7205,19.5603,17.963,2.71551,4.45493,5.2383,0.4255,srv_51.txt
0.323461,49.5149,31.7225,13.3501,0.295465,9.49081,9.26962,0.049675,srv_12.txt
0.343699,32.1162,23.3851,20.2745,1.45337,6.31199,6.27989,0.466115,srv_53.txt
0.426297,24.952,20.0358,13.574,2.72409,6.58141,6.18567,0.262965,srv_46.txt
0.635171,28.5116,1.56293,1.08108,0.74128,7.95149,3.38981,0.017825,server_014.txt
0.502764,45.2552,42.9988,36.781,31.7464,7.65623,7.64058,0.392545,srv_76.txt
0.53722,16.1161,26.7944,4.59897,2.80101,2.69114,5.92475,0.08691,client_007.txt
0.566642,71.6771,1.7394,0.40803,0.267275,9.23802,4.57498,0.007345,server_036.txt
0.491416,44.6065,41.9483,36.5565,33.109,7.46267,7.84585,0.6201,server_020.txt
0.721255,3.16264,3.85896,3.42472,2.20967,0.529665,8.99278,0.43887,srv_28.txt
0.247325,65.7686,51.2235,24.3681,2.21956,13.7391,12.291,0.545485,srv_45.txt
0.301356,55.8936,40.9864,10.5228,0.93873,11.0051,10.474,0.274865,server_029.txt
0.400326,24.3413,21.4004,24.3135,2.45258,3.8064,11.8725,2.1429,server_011.txt
0.373509,62.9063,30.4022,6.61717,0.78099,10.1307,8.50573,0.08533,server_033.txt
0.368611,3.46254,104.134,9.35941,7.54153,0.70056,42.5569,0.492655,srv_9.txt
0.294283,61.0081,35.3821,7.00855,0.009975,12.1334,9.86405,0.006525,srv_16.txt
0.381415,62.9755,28.3815,3.14752,0.05593,10.1618,7.93764,0.013405,server_034.txt
0.66278,6.34211,15.2436,10.1671,8.21151,1.32746,1.57265,0.239205,srv_40.txt
0.353997,63.9321,30.1731,5.75621,4.23421,10.2213,8.61417,0.17214,server_035.txt
0.416654,25.8239,21.0334,25.4671,2.01088,4.0192,12.7512,2.28083,srv_0.txt
0.509886,45.6485,44.2455,36.9767,33.3714,7.71077,7.54495,0.383555,srv_34.txt
0.408521,26.2724,21.7789,26.3438,2.13236,4.11348,12.7549,2.33662,server_013.txt
0.311403,0.000145,25.7627,17.9164,17.9028,0.330615,0.330615,0.304325,602.gcc_s-1850B.txt
0.431501,25.4658,20.8866,23.606,2.05779,4.09023,11.8281,2.12615,srv_7.txt
0.456463,25.1088,20.9167,21.5036,1.98917,3.96569,12.8943,1.64202,srv_67.txt
0.637317,8.98424,6.78198,4.27817,1.00506,2.19496,3.07058,0.156885,client_002.txt
0.458292,25.5222,20.7365,21.2518,1.77463,4.01355,11.744,1.58153,srv_65.txt
0.440288,21.3975,17.6356,14.0889,3.36059,5.2034,5.282,0.44354,srv_49.txt
0.723551,3.19185,3.75062,3.32876,2.07053,0.53352,9.04472,0.435775,srv_31.txt
0.640801,9.6805,8.21794,3.42547,0.00356,2.60026,3.25746,0.00263,srv_58.txt
0.341396,17.1107,97.222,16.9866,1.49335,2.69739,44.9314,1.57905,srv_11.txt
0.411413,26.0549,21.7738,26.2454,2.25914,4.11016,12.7125,2.29735,srv_61.txt
0.454965,21.4894,39.6709,8.04123,2.64762,4.99641,15.2214,0.15647,client_008.txt
0.435021,21.4026,18.0948,15.3802,3.87032,5.24285,5.17624,0.395625,srv_48.txt
0.402083,26.3265,23.1512,28.0527,2.49271,4.12148,12.9038,2.54224,srv_60.txt
0.42162,25.6586,20.3944,13.5072,2.61744,6.75006,6.30261,0.28783,srv_47.txt
0.45517,25.4865,21.3791,21.8827,2.01162,3.97638,12.9484,1.59614,srv_4.txt
,,,,,,,,script_for_rename.sh
0.444982,42.3136,41.0535,36.5369,34.9855,7.0933,8.10539,0.9845,server_017.txt
0.30373,57.4395,40.9407,9.07359,0.147995,11.358,10.2909,0.14236,srv_71.txt
0.398491,25.5391,21.0456,20.009,3.07092,4.79754,5.02545,0.43736,srv_50.txt
0.303332,56.4714,40.5519,10.7247,0.08186,11.1172,10.0165,0.13445,srv_14.txt
,,,,,,,,info_extractor.py
0.44532,42.5071,42.9558,37.4366,27.9313,7.14782,7.98629,0.858985,server_019.txt
0.413076,25.2938,20.8379,24.5688,2.37314,4.07732,12.3099,2.28662,srv_69.txt
0.449618,25.5228,20.6089,21.3074,1.90219,3.85073,11.9066,1.66013,srv_3.txt
0.511862,16.4163,13.1246,12.001,2.1313,2.99563,3.12525,0.39627,srv_54.txt
0.301826,56.7243,38.4271,10.4108,0.807985,11.1786,10.5609,0.322075,srv_19.txt
0.29755,60.6236,38.7302,7.05443,0.008555,12.0737,9.85403,0.00616,srv_72.txt
0.452044,25.1923,21.0741,21.8867,2.0642,3.96881,12.8443,1.72131,srv_66.txt
0.318288,49.7613,30.0827,11.4275,0.49502,9.55165,8.84263,0.04979,server_025.txt
0.72432,3.28732,3.98752,3.54386,2.06244,0.547285,9.04158,0.440135,srv_29.txt
0.618716,9.62862,9.72703,6.8458,3.8802,1.65075,2.19505,0.072525,client_003.txt
0.38945,22.4361,47.2182,21.9863,1.7839,3.56161,23.548,2.06344,server_009.txt
0.452735,25.7573,21.4241,22.2828,1.94663,4.03885,13.0685,1.60906,srv_5.txt
0.329052,48.0783,30.3166,13.5019,0.81085,9.13976,8.94892,0.06021,server_024.txt
0.605196,11.2106,9.72915,4.09727,0.013225,3.00709,3.52736,0.003545,srv_59.txt
0.724754,3.21889,3.84026,3.4234,2.04662,0.53748,9.03225,0.4363,srv_30.txt
0.298189,60.6055,38.6578,6.31464,0.02783,12.071,9.80481,0.00623,server_032.txt
0.59374,13.1988,12.0504,5.21636,0.90619,4.08648,4.49974,0.265105,srv_56.txt
0.648685,29.9477,1.71416,0.00272,0.00113,8.43077,3.7187,2.5,server_015.txt
0.348625,19.8355,64.4216,19.4877,2.43902,3.28187,30.3105,2.04566,server_004.txt
0.363728,19.2066,22.9822,20.1593,4.25601,3.12486,9.32441,1.65809,server_003.txt
0.296668,60.6554,38.7669,7.10175,0.006195,12.0808,9.82949,0.00769,srv_17.txt
0.444327,25.6464,21.2115,22.2087,2.02951,3.87377,12.8369,1.70795,srv_62.txt
0.594237,12.6251,11.8514,5.63159,1.41338,4.18923,4.69926,0.368045,srv_57.txt
0.507557,45.4011,41.5181,36.2684,31.8779,7.6713,7.49148,0.378445,server_021.txt
0.322236,42.2919,36.6602,27.7269,1.15335,8.25389,9.11271,0.599445,srv_42.txt
0.301896,55.7347,42.4906,11.8852,0.76924,10.9349,10.3572,0.296195,srv_18.txt
0.558356,5.97975,20.1438,6.76833,3.1404,1.19741,5.69262,0.079135,client_001.txt
0.507074,45.646,44.2704,37.2465,32.1223,7.71359,7.6185,0.369155,server_022.txt
0.512031,45.5251,44.2119,36.9588,32.8881,7.70153,7.58362,0.393385,srv_39.txt
0.29905,57.5073,36.9319,9.31473,0.968455,11.3207,10.7224,0.28218,server_031.txt
0.73054,3.0373,3.58679,3.24467,1.80901,0.51147,8.89929,0.43144,srv_27.txt
0.304898,53.0825,32.1804,14.1031,0.295495,10.1684,9.20916,0.043225,srv_20.txt
0.421736,25.2172,21.4714,25.5743,1.75301,3.97169,12.5726,2.32634,srv_10.txt
0.299265,57.5038,38.052,9.78314,0.756155,11.3171,10.7891,0.291055,srv_25.txt
0.255439,61.6363,49.1428,24.6491,2.93865,12.8551,11.4551,0.51195,srv_44.txt
0.305254,55.4185,41.2254,10.0361,0.855965,10.946,10.4108,0.39493,server_028.txt
0.49637,77.1925,19.9428,5.52151,0.60112,12.4636,9.98284,0.11544,server_038.txt
0.59523,11.0312,10.9633,10.8818,4.45373,2.29306,6.80432,0.75991,srv_8.txt
0.502752,77.0508,19.054,5.4463,0.28501,12.4323,10.0782,0.112785,srv_32.txt
0.299414,56.0951,40.393,12.939,1.04061,11.0678,10.6441,0.328865,srv_73.txt
