IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.311385,7.7577,53.459,19.7648,10.2656,9.22877,0.04911,0.07823,srv_26.txt
0.470658,15.8989,25.0763,12.1739,3.94903,12.8749,1.72157,1.66536,srv_6.txt
0.553974,34.691,45.295,33.9518,7.67502,7.56841,0.399875,31.7241,srv_36.txt
0.426484,14.8542,23.7205,12.0978,4.45493,5.23698,0.422265,2.46641,srv_51.txt
0.329253,8.16968,49.5148,20.0442,9.4908,9.26929,0.046485,0.1162,srv_12.txt
0.35362,16.1411,32.1157,14.2698,6.31199,6.27876,0.461195,0.921025,srv_53.txt
0.438072,11.6182,24.9518,12.9928,6.58416,6.18658,0.260645,2.51478,srv_46.txt
0.637335,1.02544,28.5116,0.908055,7.9515,3.3898,0.01757,0.64699,server_014.txt
0.548703,34.851,45.2552,33.9939,7.65623,7.64195,0.391555,31.5305,srv_76.txt
0.547946,4.77407,16.1161,13.0026,2.69114,5.92631,0.086775,2.84698,client_007.txt
0.567981,0.373695,71.6771,0.36599,9.23802,4.57496,0.007335,0.22918,server_036.txt
0.53368,35.0311,44.6065,33.4572,7.46267,7.84685,0.61266,32.1166,server_020.txt
0.735023,3.40002,3.16264,2.56848,0.529665,8.99271,0.43547,2.04606,srv_28.txt
0.256184,15.5676,65.7686,28.5179,13.7391,12.2901,0.540535,1.69741,srv_45.txt
0.303753,7.44068,55.8936,28.2122,11.0051,10.474,0.27069,0.87972,server_029.txt
0.412493,19.418,24.3413,12.5348,3.8064,11.8711,2.12952,1.74246,server_011.txt
0.381827,4.8289,62.9063,12.2514,10.1307,8.50679,0.082385,0.435025,server_033.txt
0.384366,8.82351,3.46254,66.9839,0.70056,42.5467,0.489855,6.97286,srv_9.txt
0.297187,5.01856,61.0081,22.0173,12.1334,9.86408,0.00645,0.011195,srv_16.txt
0.386014,1.49798,62.9755,11.6857,10.1618,7.93891,0.013485,0.025345,server_034.txt
0.688221,9.62158,6.34211,11.8654,1.32745,1.57246,0.238815,8.0223,srv_40.txt
0.373899,4.55145,63.9321,12.2115,10.2213,8.61527,0.17007,3.32652,server_035.txt
0.430706,20.2638,25.8239,12.5036,4.0192,12.7489,2.27757,1.34424,srv_0.txt
0.555084,34.537,45.6485,33.7451,7.71077,7.54709,0.381235,31.6581,srv_34.txt
0.420838,21.082,26.2724,12.6361,4.11348,12.755,2.32131,1.47188,server_013.txt
0.444902,18.3894,25.4658,12.3779,4.09023,11.8293,2.12829,1.73575,srv_7.txt
0.473006,15.5006,25.1088,12.0551,3.96569,12.8953,1.63367,1.67909,srv_67.txt
0.641964,4.08768,8.98425,4.57981,2.19496,3.07077,0.164185,1.0587,client_002.txt
0.47311,16.1987,25.5222,12.2011,4.01355,11.7423,1.57146,1.59642,srv_65.txt
0.455199,12.1732,21.3976,11.1128,5.20544,5.28162,0.43946,2.91309,srv_49.txt
0.732665,3.40137,3.19185,2.42091,0.53352,9.04453,0.433065,2.19977,srv_31.txt
0.645916,2.42643,9.6805,4.4387,2.60026,3.25667,0.00269,0.002355,srv_58.txt
0.347097,13.75,17.1107,61.802,2.69738,44.9302,1.57112,1.00235,srv_11.txt
