IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.307452,11.2809,53.459,29.1418,10.2656,9.22887,0.049435,0.218125,19.8352,4.72327,15.0102,13.7443,srv_26.txt
0.456367,20.8522,25.0763,19.8585,3.94903,12.8755,1.73295,2.00101,21.3662,5.41496,4.62457,9.92918,srv_6.txt
0.517999,36.2095,45.295,39.4046,7.67502,7.56919,0.402435,33.1776,26.4574,4.08484,0.300754,13.5305,srv_36.txt
0.412539,17.8567,23.7205,17.9777,4.45493,5.23778,0.42588,2.9359,20.3629,6.61583,7.6918,7.98922,srv_51.txt
0.325214,11.5612,49.5149,29.6765,9.49081,9.26949,0.0473,0.281185,19.935,5.79543,12.6635,13.8731,srv_12.txt
0.343882,20.2106,32.1157,21.2431,6.31199,6.27962,0.46528,1.60189,20.8082,7.10611,10.9042,9.6319,srv_53.txt
0.427146,13.6552,24.9519,18.8474,6.58416,6.1861,0.265565,2.77149,21.8009,6.7479,6.2262,8.14089,srv_46.txt
0.635212,1.07295,28.5116,1.03541,7.9515,3.38985,0.01755,0.752955,27.5514,4.20924,7.73732,0.37487,server_014.txt
0.514252,36.4326,45.2552,39.712,7.65623,7.64234,0.39388,33.2345,26.4844,4.03143,0.424645,13.505,srv_76.txt
0.537991,4.77377,16.1161,21.797,2.69114,5.92332,0.08817,2.97539,27.366,12.8358,13.9564,10.9073,client_007.txt
,,,,,,,,,,,,BOP-RL.csv
0.567141,0.39336,71.6771,0.42304,9.23802,4.57494,0.007405,0.25669,26.9918,3.59622,5.16392,0.13723,server_036.txt
0.497417,36.5211,44.6065,39.5862,7.46267,7.84732,0.62477,33.4463,24.6012,4.25552,0.308776,13.8048,server_020.txt
0.721045,3.43808,3.16264,3.63758,0.529665,8.99272,0.4433,2.23221,14.8946,2.60058,2.49615,1.77681,srv_28.txt
0.248913,21.6045,65.7686,42.6185,13.7391,12.2903,0.545055,2.47518,19.1346,6.30891,8.90227,19.2967,srv_45.txt
0.301707,10.1619,55.8936,38.4161,11.0051,10.474,0.276555,0.953115,21.5929,3.504,4.32736,20.2873,server_029.txt
0.403597,21.2225,24.3413,16.6846,3.8064,11.8725,2.13912,2.20652,21.9967,5.24791,6.33005,10.3325,server_011.txt
0.375427,5.12253,62.9063,18.3788,10.1307,8.50565,0.084165,0.62038,16.4842,9.1646,22.062,11.4879,server_033.txt
0.366911,9.01034,3.46254,69.7065,0.70056,42.5497,0.49597,7.38187,41.9113,3.45457,3.36633,64.1619,srv_9.txt
0.295193,7.3076,61.008,33.6069,12.1334,9.86397,0.006535,0.01782,19.7921,2.09231,69.7002,15.5874,srv_16.txt
0.383233,2.36578,62.9755,20.2006,10.1618,7.93778,0.013465,0.060465,20.7556,9.50221,67.805,11.3483,server_034.txt
0.668886,10.0396,6.34211,14.7007,1.32745,1.57254,0.239225,8.24134,33.6369,5.41763,2.13925,5.51678,srv_40.txt
0.353495,5.06797,63.9321,22.5005,10.2213,8.61433,0.177705,3.77548,17.224,13.2663,5.07383,12.4072,server_035.txt
0.420617,22.2204,25.8239,16.1088,4.0192,12.7508,2.28317,1.93262,20.9217,4.84446,3.96438,10.4243,srv_0.txt
0.518429,35.9838,45.6485,39.1775,7.71077,7.54831,0.38513,33.1683,26.4197,4.13365,0.29356,13.5301,srv_34.txt
0.408886,25.4564,26.2724,20.2596,4.11348,12.7548,2.34289,2.19535,21.3635,4.66273,5.2963,10.1541,server_013.txt
0.299843,18.0395,0.000145,26.5565,0.33072,0.33072,0.30439,18.0039,79.2312,1.51198,0.0415364,17.9242,602.gcc_s-1850B.txt
0.433649,20.0425,25.4658,15.7435,4.09023,11.8296,2.13266,2.01969,20.1606,5.25428,4.67111,10.3763,srv_7.txt
0.458076,20.3646,25.1088,19.511,3.96569,12.8946,1.64362,2.05735,21.8076,5.51027,4.4122,9.8136,srv_67.txt
0.634856,4.26896,8.98424,6.08832,2.19496,3.07032,0.16516,1.04891,29.7059,7.4536,7.02731,2.43273,client_002.txt
0.459095,20.3029,25.5222,19.0076,4.01355,11.7432,1.58103,1.91832,22.0903,5.64853,4.76748,9.98296,srv_65.txt
0.440982,13.7733,21.3976,16.2207,5.20544,5.28163,0.445595,3.39513,21.5534,6.73279,5.64085,7.07436,srv_49.txt
0.721518,3.3053,3.19185,3.46597,0.53352,9.04467,0.441145,2.12465,15.1644,2.57896,2.43013,1.7033,srv_31.txt
0.641524,3.39498,9.6805,6.71101,2.60026,3.2573,0.00265,0.01549,20.3694,7.97517,55.2641,3.10198,srv_58.txt
0.341942,17.0255,17.1107,94.2791,2.69738,44.9307,1.57879,1.58516,7.39228,5.09372,5.97932,59.2727,srv_11.txt
0.41274,25.236,26.0549,20.2433,4.11016,12.7122,2.30365,2.18053,21.2094,4.76568,5.56168,10.1136,srv_61.txt
0.452979,8.50595,21.4894,32.5085,4.99641,15.2303,0.15818,2.80205,22.7799,9.15663,14.5671,17.9045,client_008.txt
0.436036,14.1936,21.4025,15.3411,5.24485,5.17652,0.39677,3.76343,21.3872,6.44861,5.97996,7.53075,srv_48.txt
0.403657,26.7873,26.3265,21.3248,4.12148,12.9033,2.54339,2.19419,21.3481,4.94585,5.01796,10.8383,srv_60.txt
0.422103,13.5331,25.6586,19.0917,6.7525,6.30225,0.29023,2.72409,21.4407,6.57925,5.45862,8.26686,srv_47.txt
0.457279,20.3492,25.4865,19.1915,3.97637,12.9482,1.6027,2.01874,21.6796,5.62203,4.69553,10.1328,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.45067,36.5846,42.3136,39.3219,7.0933,8.10957,0.99303,35.5312,24.6125,4.01526,0.407315,14.108,server_017.txt
0.302809,9.54206,57.4395,40.3261,11.3581,10.2908,0.147875,0.186905,22.4883,3.61551,12.7377,19.7714,srv_71.txt
0.398341,19.6012,25.5391,19.2148,4.79754,5.02417,0.43574,3.20444,20.735,6.36927,8.32679,8.61541,srv_50.txt
0.303587,10.2702,56.4714,38.7985,11.1172,10.0167,0.14096,0.0872,22.2008,3.82279,21.6905,19.0588,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.455027,36.9156,42.5071,39.9811,7.14782,7.98694,0.860785,34.6444,25.4012,3.92925,0.987826,14.0209,server_019.txt
0.414598,23.512,25.2938,19.1483,4.07732,12.3088,2.28606,2.39121,21.9725,5.06208,6.26776,9.82069,srv_69.txt
0.449489,20.442,25.5228,18.8194,3.85073,11.9054,1.66596,1.96939,21.774,5.30381,4.49152,9.90298,srv_3.txt
0.511781,11.5568,16.4163,11.9721,2.99563,3.125,0.39492,2.14757,21.51,7.40575,7.55656,5.28538,srv_54.txt
0.30294,9.74424,56.7243,36.4773,11.1786,10.5611,0.321065,0.815935,20.2614,2.2923,2.0535,17.4887,srv_19.txt
0.29881,5.794,60.6235,32.4882,12.0737,9.85398,0.00609,0.01703,19.7776,2.10768,72.9767,15.5102,srv_72.txt
0.456093,19.4985,25.1923,17.828,3.96881,12.8437,1.72077,1.99098,22.3997,5.66543,4.46386,10.0076,srv_66.txt
0.318756,10.6026,49.7613,28.0154,9.55165,8.84276,0.04623,0.483665,19.9713,4.15107,12.0205,12.849,server_025.txt
0.722968,3.58244,3.28732,3.79309,0.547285,9.0417,0.446075,2.14285,14.545,2.5491,2.26498,1.84104,srv_29.txt
0.620548,6.70679,9.62862,8.51428,1.65075,2.1951,0.07299,3.88887,32.7304,8.63773,12.6743,2.5458,client_003.txt
0.390038,21.7707,22.4361,44.724,3.56161,23.5438,2.06283,1.83606,12.2654,5.10287,6.51052,26.4596,server_009.txt
0.457192,18.3657,25.7573,16.2497,4.03885,13.0672,1.604,1.80475,20.6444,5.67875,4.50093,10.3749,srv_5.txt
