File,IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,,L1D Accuracy,L2C Accuracy,LLC Accuracy
client_001.txt,0.55852,5.97975,14.795,6.56294,3.14157,1.19741,5.69328,0.079605,,31.9415,11.3537,17.7511
client_002.txt,0.635048,8.98425,5.937,4.18951,1.01015,2.19496,3.07033,0.164875,,31.0632,7.57948,7.96607
client_003.txt,0.619212,9.62862,8.01164,6.48662,3.82768,1.65075,2.19505,0.072805,,35.5489,7.88557,9.90335
client_006.txt,0.538346,12.2391,19.3411,10.4025,6.12851,2.47523,6.23406,0.497065,,30.8928,4.35299,8.0513
client_007.txt,0.537562,16.1161,18.5737,4.53047,2.85653,2.69114,5.9255,0.087985,,29.3504,13.8503,15.3337
client_008.txt,0.453781,21.4894,26.9463,7.54026,2.65595,4.99641,15.2329,0.15681,,26.1189,11.1496,17.5484
server_001.txt,0.603871,9.71386,9.94412,9.90305,5.40367,2.0866,5.88711,0.59496,,47.5554,8.70189,5.67664
server_002.txt,0.665847,14.7161,0.4009,0.41123,0.28832,4.94399,4.59446,0.006925,,35.4691,4.21525,5.40741
server_003.txt,0.364538,19.2066,20.603,19.3124,4.06177,3.12486,9.32357,1.65701,,25.9948,6.7771,8.97614
server_004.txt,0.349162,19.8355,49.2882,19.1468,2.56433,3.28187,30.3075,2.0376,,16.413,5.00509,5.57107
server_009.txt,0.390161,22.4361,35.5125,21.464,1.66514,3.56161,23.5437,2.06166,,22.2254,5.11592,7.13761
server_010.txt,0.401769,23.6858,29.6015,22.892,1.64322,3.7471,19.3376,2.22423,,22.4266,5.19973,6.75011
server_011.txt,0.402624,24.3413,19.628,23.1726,2.26798,3.8064,11.8715,2.14254,,23.4336,5.24503,6.85593
server_012.txt,0.424425,25.2905,19.6672,23.9412,1.65837,4.0271,12.507,2.28926,,22.6524,5.0629,7.22954
server_013.txt,0.410428,26.2724,19.9514,25.0633,1.94402,4.11348,12.755,2.3386,,22.581,4.64297,5.96068
server_014.txt,0.635291,28.5116,1.03607,1.07643,0.77037,7.9515,3.38982,0.017595,,32.9147,3.5803,7.42921
server_015.txt,0.649921,29.9477,0.00466,0.00193,0.00051,8.43077,3.7187,0.00466,,16.4087,38.6555,6.66667
