IPC,L1I TOTAL_MPKI,L1D TOTAL_MPKI,L2C TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,,File
0.563544,5.97973,10.2463,6.94793,3.41604,1.19741,5.69116,0.079485,,client_001.txt
0.636756,8.98425,4.5798,4.18415,1.06647,2.19496,3.07055,0.164235,,client_002.txt
0.62251,9.62862,6.80214,6.60479,3.89129,1.65075,2.19512,0.07219,,client_003.txt
0.54618,12.2391,13.456,10.9197,6.3876,2.47523,6.2348,0.454535,,client_006.txt
0.542563,16.1161,13.0025,4.5914,2.91518,2.69114,5.92637,0.086775,,client_007.txt
0.457632,21.4894,18.5343,7.14926,2.83923,4.99641,15.2375,0.155675,,client_008.txt
0.611272,9.71386,8.03619,10.0662,5.54637,2.0866,5.87737,0.58847,,server_001.txt
0.665777,14.7161,0.348615,0.426105,0.30003,4.94399,4.59445,0.006965,,server_002.txt
0.365925,19.2066,13.7776,18.8658,4.12143,3.12486,9.32362,1.64722,,server_003.txt
0.349567,19.8355,40.7403,18.7916,2.9026,3.28187,30.3072,2.02692,,server_004.txt
0.391716,22.4361,28.9828,20.593,1.92942,3.56161,23.5443,2.05136,,server_009.txt
0.40329,23.6858,22.7593,22.0189,1.90141,3.7471,19.3382,2.2144,,server_010.txt
0.404032,24.3413,12.535,22.3128,2.58216,3.8064,11.8709,2.12953,,server_011.txt
0.426099,25.2905,12.4482,22.9701,1.94776,4.0271,12.508,2.28048,,server_012.txt
0.41278,26.2724,12.636,23.9914,2.16841,4.11348,12.7546,2.32125,,server_013.txt
0.635626,28.5116,0.908055,1.09668,0.77969,7.9515,3.3898,0.01757,,server_014.txt
0.649921,29.9477,0.00255,0.00172,0.000435,8.43077,3.7187,2.5,,server_015.txt
0.380233,36.8761,14.7252,6.57236,0.646625,7.05104,6.8543,0.038835,,server_016.txt
0.463037,42.3136,32.9165,38.9757,36.0233,7.0933,8.10708,0.970505,,server_017.txt
0.458677,42.2898,32.9992,38.9562,25.5229,7.08017,8.03499,0.73496,,server_018.txt
0.457304,42.5071,33.696,39.2166,27.6582,7.14782,7.98659,0.84562,,server_019.txt
0.510755,44.6065,33.4548,38.5609,34.2998,7.46267,7.8475,0.61268,,server_020.txt
0.525966,45.4011,33.7452,38.1318,31.4843,7.6713,7.49357,0.374265,,server_021.txt
0.528019,45.646,33.8112,38.3701,31.9367,7.71359,7.61992,0.3651,,server_022.txt
0.337117,47.3417,18.9919,8.58551,0.887305,9.04199,8.88289,0.05442,,server_023.txt
0.333482,48.0783,19.0438,9.54461,0.880505,9.13976,8.94899,0.056965,,server_024.txt
0.322586,49.7613,18.4969,7.70461,0.514205,9.55165,8.84249,0.044275,,server_025.txt
0.312347,52.6387,20.4317,8.3116,0.507365,10.0561,9.18233,0.03959,,server_026.txt
0.312771,52.8824,19.5854,7.36409,0.553275,10.1247,9.12957,0.04091,,server_027.txt
0.309255,55.4185,27.8341,6.17756,0.95022,10.946,10.4109,0.382085,,server_028.txt
0.304262,55.8936,28.2116,7.29071,1.05266,11.0051,10.4741,0.27069,,server_029.txt
0.30441,56.6031,28.2522,7.05582,0.233975,11.1386,10.1357,0.145005,,server_030.txt
0.300797,57.5072,23.8454,7.14393,1.05456,11.3207,10.7226,0.27487,,server_031.txt
0.300596,60.6055,21.8374,3.61711,0.035395,12.071,9.80477,0.00592,,server_032.txt
0.376821,62.9063,12.2513,5.86663,0.98963,10.1307,8.50579,0.082385,,server_033.txt
