IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.311587,7.61106,53.459,21.5695,10.2656,9.22884,0.049345,0.085185,24.5218,5.54789,27.8592,13.9122,srv_26.txt
0.463819,16.1611,25.0763,13.6883,3.94903,12.8783,1.72372,1.6396,35.8904,7.13118,3.81754,10.1382,srv_6.txt
0.517036,34.563,45.295,36.114,7.67502,7.5678,0.400135,32.2444,30.5933,3.52095,0.283716,13.8293,srv_36.txt
0.417165,14.4219,23.7205,13.3996,4.45493,5.23737,0.421835,2.23189,32.1958,7.33231,8.34968,8.06684,srv_51.txt
0.329598,8.07032,49.5148,21.8086,9.4908,9.26933,0.046585,0.1103,24.3285,6.87608,24.4547,14.0976,srv_12.txt
0.349396,16.2904,32.1157,15.7988,6.31199,6.27934,0.462345,1.01697,33.1271,7.93869,11.1508,9.71192,srv_53.txt
0.430416,11.12,24.9519,14.3212,6.58416,6.18588,0.26214,2.27141,33.3048,7.92037,5.77187,8.23606,srv_46.txt
0.634731,1.02731,28.5116,0.95135,7.9515,3.3898,0.01748,0.69096,44.5836,2.75956,5.76506,0.373475,server_014.txt
0.513036,34.6362,45.2552,36.1279,7.65623,7.64142,0.391925,32.4511,29.6573,3.51923,0.361557,13.9096,srv_76.txt
0.531611,4.02714,16.1161,14.5978,2.69114,5.92618,0.08742,2.59013,34.4428,13.0988,18.2466,10.8962,client_007.txt
0.566954,0.373605,71.6771,0.38475,9.23802,4.57497,0.007355,0.2388,23.9586,2.81581,6.16559,0.148035,server_036.txt
0.494548,34.5102,44.6065,35.661,7.46267,7.8476,0.61795,32.2134,28.8406,3.49427,0.284485,14.1017,server_020.txt
0.71846,2.74966,3.16264,2.80377,0.529665,8.99273,0.4376,1.54416,20.7282,3.47921,3.32077,1.8136,srv_28.txt
0.253149,15.4341,65.7686,31.5504,13.7391,12.2881,0.540925,1.66088,28.5993,7.51224,7.54605,19.3796,srv_45.txt
0.304271,7.0534,55.8936,30.6275,11.0051,10.4741,0.273825,0.71446,32.9943,3.72985,3.42627,20.4103,server_029.txt
0.407308,19.3756,24.3413,14.0147,3.8064,11.8731,2.12999,1.81099,35.2079,6.22752,6.92918,10.2731,server_011.txt
0.377724,4.3224,62.9063,12.5809,10.1307,8.50562,0.08247,0.38993,28.3195,10.3502,29.9235,10.4099,server_033.txt
0.361912,8.08455,3.46254,72.0435,0.70056,42.551,0.492325,6.76831,22.146,2.0578,0.864598,64.8825,srv_9.txt
0.29764,4.41619,61.008,24.0453,12.1334,9.86389,0.006525,0.009205,26.2931,3.05055,138.479,15.9422,srv_16.txt
0.385474,1.38559,62.9755,11.9511,10.1618,7.93747,0.01348,0.0357,29.4689,19.9211,24.3902,10.0187,server_034.txt
0.665954,9.50816,6.34211,12.547,1.32746,1.57255,0.239655,8.0281,49.5824,2.94951,0.994091,5.49118,srv_40.txt
0.350476,3.98499,63.9321,12.6818,10.2213,8.61326,0.174725,3.12983,23.3122,20.6527,9.91363,10.463,server_035.txt
0.42446,20.6543,25.8239,13.9864,4.0192,12.7511,2.27827,1.51244,35.015,6.30135,4.51735,10.2776,srv_0.txt
0.518074,34.3132,45.6485,35.878,7.71077,7.5474,0.382705,32.192,29.7457,3.45312,0.290797,13.8505,srv_34.txt
0.41577,20.8743,26.2724,14.1463,4.11348,12.7563,2.32253,1.54082,34.5761,5.61513,5.58796,10.4012,server_013.txt
0.437598,18.7848,25.4658,13.8894,4.09023,11.8304,2.12863,1.72043,35.2783,6.76949,4.15067,10.193,srv_7.txt
0.46597,15.7851,25.1088,13.4911,3.96569,12.8946,1.63698,1.64186,37.2019,7.48365,3.66448,10.015,srv_67.txt
0.632162,3.71514,8.98425,4.95151,2.19496,3.07013,0.16401,0.971945,32.8091,5.01754,10.9881,2.60159,client_002.txt
0.466089,16.2667,25.5222,13.6536,4.01355,11.7443,1.57374,1.52957,36.1268,8.09112,5.33474,10.145,srv_65.txt
0.444906,11.4357,21.3977,12.2725,5.20544,5.28116,0.44135,2.71329,31.6968,8.40854,5.982,7.20988,srv_49.txt
0.720827,2.62615,3.19185,2.64849,0.53352,9.04472,0.43434,1.41995,19.8417,3.87963,3.22573,1.7514,srv_31.txt
0.645548,2.50523,9.6805,4.93581,2.60026,3.25671,0.00263,0.00563,27.2743,9.14482,159.008,3.04416,srv_58.txt
