IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.554817,5.64583,5.97975,10.3578,1.19741,5.69098,0.08032,2.63852,client_001.txt
0.640037,3.75138,8.98424,4.6442,2.19496,3.07025,0.164485,0.986585,client_002.txt
0.622177,6.25149,9.62862,6.83563,1.65075,2.19496,0.07237,3.72676,client_003.txt
0.527898,8.90096,12.2391,14.106,2.47523,6.23297,0.455755,4.94633,client_006.txt
0.53301,4.10871,16.1161,13.3961,2.69114,5.92628,0.088035,2.5469,client_007.txt
0.457078,6.51021,21.4894,18.6805,4.99641,15.2356,0.157675,2.58475,client_008.txt
0.601552,8.76223,9.71386,8.10274,2.0866,5.88797,0.59036,4.51707,server_001.txt
0.665699,0.38579,14.7161,0.35004,4.94399,4.59447,0.00695,0.257945,server_002.txt
0.367942,15.7878,19.2066,13.8224,3.12486,9.32541,1.64847,2.9291,server_003.txt
0.353081,15.3512,19.8355,41.8063,3.28187,30.3084,2.028,1.77756,server_004.txt
0.394793,17.0208,22.4361,29.6138,3.56161,23.5468,2.05176,1.24871,server_009.txt
0.4069,18.1358,23.6858,23.1291,3.7471,19.3405,2.21461,1.20116,server_010.txt
0.407121,18.3742,24.3413,12.5624,3.8064,11.8741,2.12975,1.66724,server_011.txt
0.429203,18.8769,25.2905,12.4738,4.0271,12.5098,2.281,1.24587,server_012.txt
0.415764,19.7798,26.2724,12.6655,4.11348,12.7573,2.32098,1.3959,server_013.txt
0.6351,1.01216,28.5116,0.91158,7.9515,3.38981,0.017495,0.64616,server_014.txt
0.649916,0.00164,29.9477,0.00488,8.43077,3.7187,0.00488,0.00059,server_015.txt
0.381089,5.80099,36.8761,15.051,7.05104,6.85429,0.03959,0.518375,server_016.txt
0.464135,33.5382,42.3136,33.3603,7.0933,8.10778,0.978095,33.4209,server_017.txt
0.46987,33.4807,42.2898,33.418,7.08017,8.03378,0.74086,30.3784,server_018.txt
0.464936,33.956,42.5071,34.1288,7.14782,7.98775,0.84917,34.2696,server_019.txt
0.515552,33.8189,44.6065,33.9256,7.46267,7.84708,0.62038,31.935,server_020.txt
0.534812,33.7213,45.4011,34.2001,7.6713,7.49179,0.38085,30.7531,server_021.txt
0.536131,34.0419,45.646,34.2769,7.71359,7.61829,0.36973,30.8978,server_022.txt
0.337404,7.88961,47.3417,19.3812,9.04199,8.88286,0.055535,0.72479,server_023.txt
0.334013,8.52201,48.0783,19.3729,9.13976,8.9489,0.05813,0.70653,server_024.txt
0.323212,6.84152,49.7613,18.7393,9.55165,8.84252,0.044825,0.424585,server_025.txt
