DTLB TOTAL_MPKI,L1D Accuracy,L1I TOTAL_MPKI,IPC,ITLB TOTAL_MPKI,File,LLC TOTAL_MPKI,L2C Accuracy,L2C TOTAL_MPKI,LLC Accuracy,STLB TOTAL_MPKI,L1D TOTAL_MPKI
9.22884,-,53.459,0.312483,10.2656,srv_26.txt,0.04423,-,6.7367,,0.04911,19.7649
12.8782,74.9746,25.0763,0.464711,3.94903,srv_6.txt,1.51656,15.7682,14.8711,5.26316,1.72159,12.1847
7.56827,28.4653,45.295,0.502585,7.67502,srv_36.txt,31.4534,0,32.9162,0,0.399875,33.9568
5.23746,11.6545,23.7205,0.416963,4.45493,srv_51.txt,1.96568,1.60852,13.7516,2.83505,0.420355,13.1444
9.26934,35.3068,49.5148,0.330591,9.4908,srv_12.txt,0.06106,0.503712,7.13704,0,0.04627,20.071
6.27864,97.519,32.1157,0.351525,6.31199,srv_53.txt,0.73241,29.0644,14.8987,43.3333,0.46118,14.2707
6.18622,6.9733,24.9519,0.42868,6.58372,srv_46.txt,2.08088,2.42157,10.559,0.647249,0.260285,14.0914
3.38982,70.7547,28.5116,0.634453,7.9515,server_014.txt,0.645515,45.7746,0.99609,1.42857,0.01758,0.909195
7.6418,39.4106,45.2552,0.498789,7.65623,srv_76.txt,31.7609,6.03013,33.3284,0.0957592,0.391555,34.4205
5.92376,66.2057,16.1161,0.527817,2.69114,client_007.txt,2.40774,27.0386,3.69309,3.24826,0.086765,13.0507
4.57496,65.8385,71.6771,0.566888,9.23802,server_036.txt,0.22197,10.3448,0.3601,10.5263,0.007335,0.366375
7.84725,33.5298,44.6065,0.483786,7.46267,server_020.txt,31.352,0.725972,32.8659,0.0699518,0.61269,33.4676
8.99274,11.6003,3.16264,0.717408,0.529665,srv_28.txt,1.37362,1.06257,2.5523,0,0.4349,2.58774
12.2875,6.60757,65.7686,0.252732,13.7391,srv_45.txt,1.38862,0.979468,14.6466,0.746269,0.5405,31.9222
10.4741,23.9921,55.8936,0.305311,11.0051,server_029.txt,0.603455,3.00185,5.94584,14.8148,0.27075,28.3681
