IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.302612,15.954,53.459,38.3962,10.2656,9.22923,0.054285,0.30072,17.9505,4.28968,10.0933,13.5056,srv_26.txt
0.452645,23.6858,25.0763,24.3992,3.94903,12.876,1.73829,2.08083,18.0065,4.93232,4.10276,9.92162,srv_6.txt
0.51895,39.1771,45.295,44.8672,7.67502,7.5662,0.40631,34.0467,20.5499,5.5118,0.407432,13.5001,srv_36.txt
0.40596,21.5323,23.7205,22.692,4.45493,5.23784,0.46501,3.4981,14.815,6.2772,6.85346,8.25636,srv_51.txt
0.318293,16.8254,49.5149,40.7609,9.49081,9.26959,0.052725,0.365415,17.1569,4.31113,8.81462,13.6625,srv_12.txt
0.33629,25.6358,32.1157,28.3316,6.31199,6.27963,0.5087,2.17492,13.3117,6.72648,8.69429,10.2167,srv_53.txt
0.421674,16.5202,24.9519,24.0702,6.58416,6.18615,0.273895,3.17724,15.6028,6.44486,6.06309,8.46267,srv_46.txt
0.635212,1.07295,28.5116,1.03541,7.9515,3.38985,0.01755,0.752955,27.5514,4.20924,7.73732,0.37487,server_014.txt
0.512514,38.4685,45.2552,44.3366,7.65623,7.63807,0.39458,32.5997,22.6789,4.62176,0.951317,13.3875,srv_76.txt
0.539709,5.76901,16.1161,34.9366,2.69113,5.92496,0.08996,3.31692,16.998,13.8077,12.3206,12.6377,client_007.txt
0.567141,0.39336,71.6771,0.42304,9.23802,4.57494,0.007405,0.25669,26.9918,3.59622,5.16392,0.13723,server_036.txt
0.498352,39.9989,44.6065,46.5009,7.46267,7.84512,0.66124,34.8284,17.5828,5.85037,0.398395,14.1622,server_020.txt
0.721045,3.43808,3.16264,3.63758,0.529665,8.99272,0.4433,2.23221,14.8946,2.60058,2.49615,1.77681,srv_28.txt
0.240988,32.2599,65.7686,61.4739,13.7391,12.2883,0.558695,3.54317,12.1534,6.24949,8.10849,20.7627,srv_45.txt
0.295748,15.5978,55.8936,51.4299,11.0051,10.4742,0.27992,1.25446,21.7866,3.00006,3.48456,18.5885,server_029.txt
0.399503,25.479,24.3413,23.1637,3.8064,11.8719,2.15626,2.786,20.3538,4.85882,5.57787,9.77548,server_011.txt
0.37327,7.23639,62.9063,35.0411,10.1307,8.50588,0.08632,0.95808,18.2392,8.45853,16.7003,12.7898,server_033.txt
0.368908,10.1974,3.46254,75.7887,0.70056,42.5493,0.49791,8.03662,22.3096,3.9542,4.00407,64.0655,srv_9.txt
0.290844,11.2236,61.0081,45.6619,12.1334,9.86393,0.00679,0.02416,15.2895,1.72768,47.7101,16.0002,srv_16.txt
0.380598,3.79681,62.9755,35.5431,10.1618,7.93782,0.01344,0.08352,17.8771,8.92072,30.2658,12.6598,server_034.txt
0.66934,10.3869,6.34211,15.7943,1.32746,1.57258,0.24027,8.35943,30.3535,5.14149,2.07031,5.49275,srv_40.txt
0.354899,6.28922,63.9321,33.8675,10.2213,8.61559,0.179365,4.41799,15.4445,12.0053,3.70514,13.3379,server_035.txt
0.415091,27.189,25.8239,23.3998,4.0192,12.7498,2.2925,2.42969,19.4273,4.60447,3.69575,9.84398,srv_0.txt
0.519681,38.4468,45.6485,44.4111,7.71077,7.54429,0.38703,33.9186,21.3236,4.82096,0.312651,13.5135,srv_34.txt
0.402211,29.406,26.2724,25.8826,4.11348,12.755,2.37046,2.76339,15.6118,4.20422,5.01651,10.4092,server_013.txt
0.42711,25.8195,25.4658,24.2499,4.09023,11.829,2.14506,2.51266,17.4822,4.83005,4.23795,10.03,srv_7.txt
0.452967,23.6166,25.1088,24.7611,3.96569,12.8947,1.65213,2.21852,16.9378,4.83996,4.36922,9.91596,srv_67.txt
0.634856,4.26896,8.98424,6.08832,2.19496,3.07032,0.16516,1.04891,29.7059,7.4536,7.02731,2.43273,client_002.txt
0.453481,24.1384,25.5222,25.0945,4.01355,11.7426,1.58843,2.17669,17.0072,4.88498,4.36718,9.97264,srv_65.txt
0.432172,16.9148,21.3976,20.7578,5.20544,5.28188,0.49635,4.11981,14.0393,6.91688,5.38224,7.49403,srv_49.txt
0.721518,3.3053,3.19185,3.46597,0.53352,9.04467,0.441145,2.12465,15.1644,2.57896,2.43013,1.7033,srv_31.txt
0.641329,3.45443,9.6805,6.79304,2.60026,3.2573,0.00266,0.02368,20.0254,8.06332,36.2148,3.11024,srv_58.txt
,,,,,,,,,,,,srv_11.txt
0.408594,27.7595,26.0549,22.9633,4.11016,12.7126,2.47742,2.53254,17.5397,6.17758,13.0105,10.2662,srv_61.txt
0.449786,11.6342,21.4894,55.4032,4.99641,15.2323,0.160615,3.07126,15.5626,7.20523,13.1616,20.7315,client_008.txt
0.433253,16.8486,21.4025,20.2164,5.24486,5.17694,0.40022,4.2981,20.1226,6.71235,5.24563,7.17756,srv_48.txt
0.395305,31.0723,26.3265,26.9837,4.12148,12.9031,2.68836,2.83814,14.1392,5.00179,4.97227,11.2577,srv_60.txt
0.416185,16.7516,25.6586,24.7603,6.7525,6.30232,0.302065,3.2369,14.636,6.21576,4.87627,8.69352,srv_47.txt
0.453003,23.758,25.4865,24.5672,3.97637,12.9486,1.60984,2.16854,18.0744,5.14426,4.08204,10.0735,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.46056,40.9023,42.3136,48.2121,7.0933,8.10588,1.13158,35.9645,24.025,4.62402,0.860265,12.9087,server_017.txt
0.296013,15.7884,57.4395,54.4157,11.358,10.2909,0.15856,0.280685,19.1512,2.71213,7.68765,19.0223,srv_71.txt
0.39551,22.4624,25.5391,23.771,4.79754,5.02444,0.443765,3.5545,18.56,6.44613,6.81646,8.50144,srv_50.txt
0.296521,17.0267,56.4714,52.3175,11.1172,10.0163,0.153755,0.21634,13.8392,2.98096,9.09971,19.9574,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.450392,41.0745,42.5071,47.6033,7.14782,7.98642,0.985005,28.0992,16.7423,6.4132,4.40072,14.4535,server_019.txt
0.409236,26.7511,25.2938,24.0591,4.07732,12.3095,2.3035,3.03926,17.5629,4.63061,5.46135,9.86022,srv_69.txt
0.444061,23.9495,25.5228,24.0835,3.85073,11.9065,1.67226,2.2032,17.8118,4.77126,4.01534,9.87073,srv_3.txt
0.509422,12.3623,16.4163,12.9657,2.99563,3.12507,0.41629,2.33319,18.8884,7.81218,7.02796,5.34348,srv_54.txt
0.298496,13.7008,56.7243,46.1624,11.1786,10.5609,0.324275,1.04778,18.0918,2.01216,1.48367,17.2035,srv_19.txt
0.295101,9.07125,60.6236,43.7491,12.0737,9.85407,0.00636,0.018465,17.5658,1.56223,53.1822,15.3684,srv_72.txt
0.450483,23.7884,25.1923,24.4004,3.96881,12.8433,1.72512,2.24248,18.5646,4.80567,3.93621,9.77168,srv_66.txt
0.313633,14.6446,49.7613,37.1566,9.55165,8.84279,0.053855,0.54848,15.9311,4.05769,10.6949,12.9938,server_025.txt
0.722968,3.58244,3.28732,3.79309,0.547285,9.0417,0.446075,2.14285,14.545,2.5491,2.26498,1.84104,srv_29.txt
0.620159,6.89929,9.62862,9.12648,1.65075,2.19507,0.07386,3.93899,28.0278,8.39793,13.822,2.59276,client_003.txt
0.38298,27.0554,22.4361,60.5862,3.56161,23.5446,2.22533,2.45811,7.69421,4.86818,9.17185,26.7843,server_009.txt
0.451618,23.5656,25.7573,23.8825,4.03885,13.0693,1.61373,2.15437,19.5395,5.06061,3.69584,9.81655,srv_5.txt
0.325172,16.1855,48.0783,36.9662,9.13976,8.94876,0.06221,0.87201,16.0558,5.47278,8.5074,13.2907,server_024.txt
0.606408,4.02353,11.2106,8.06164,3.00709,3.52723,0.00371,0.02793,19.9785,8.81176,27.6453,3.66586,srv_59.txt
0.725356,3.40158,3.21889,3.56777,0.53748,9.03221,0.44142,2.01464,14.386,2.60143,2.32938,1.76003,srv_30.txt
0.296764,7.86796,60.6055,43.6755,12.071,9.80489,0.00636,0.04045,17.6978,1.32706,49.1146,15.283,server_032.txt
0.58967,5.97581,13.1988,11.8095,4.08771,4.49913,0.269615,1.20243,14.3453,5.5795,3.11638,4.90493,srv_56.txt
0.649915,0.001865,29.9477,0.004515,8.43077,3.7187,2.5,0.000655,22.8395,52,6.06061,0.00238,server_015.txt
0.345349,23.2827,19.8355,73.6537,3.28187,30.3076,2.41713,3.75979,15.4368,5.65015,4.01952,35.2302,server_004.txt
0.358589,22.1772,19.2066,25.6245,3.12486,9.32422,1.85457,5.04059,17.8863,8.18282,11.1081,10.8916,server_003.txt
0.294664,9.06901,60.6553,43.8456,12.0808,9.82953,0.00799,0.02054,17.7254,1.57029,31.3646,15.3454,srv_17.txt
0.439124,24.8114,25.6464,25.1927,3.87377,12.8371,1.73535,2.36294,15.3949,4.3855,4.20377,10.2203,srv_62.txt
0.58997,6.56008,12.6251,12.0655,4.19086,4.69945,0.37585,1.81347,13.6747,5.07416,2.47212,5.00765,srv_57.txt
0.520728,38.093,45.4011,44.5686,7.6713,7.49185,0.38259,32.3062,24.6416,3.68721,0.72886,12.79,server_021.txt
0.316347,33.4005,42.2919,44.0455,8.25389,9.10916,0.611865,1.68562,16.813,4.79739,6.15528,14.9634,srv_42.txt
0.29416,18.8861,55.7347,54.1818,10.9349,10.3573,0.308235,1.24714,15.8797,2.68803,2.04567,20.5857,srv_18.txt
0.562532,7.40742,5.97978,21.5273,1.19741,5.69376,0.07955,3.39856,23.2196,10.2762,15.6559,8.8564,client_001.txt
0.517135,37.8372,45.646,42.45,7.71359,7.617,0.37256,33.1787,23.37,4.35042,0.455887,13.5317,server_022.txt
0.522397,38.1959,45.525,43.8335,7.70153,7.58268,0.39702,33.3205,22.9819,4.69611,0.297241,13.3126,srv_39.txt
0.296534,12.6771,57.5072,43.8882,11.3207,10.7226,0.28353,1.22093,19.9292,2.16291,3.40064,16.169,server_031.txt
0.728914,3.23779,3.0373,3.35846,0.51147,8.89932,0.436875,1.84527,14.4597,2.28558,2.29983,1.65892,srv_27.txt
0.301797,16.3598,53.0825,38.0363,10.1684,9.20902,0.042075,0.367955,18.2997,4.04666,8.38239,13.3294,srv_20.txt
0.419077,27.8046,25.2172,25.1063,3.97169,12.5725,2.33373,2.0359,17.548,4.63418,5.72599,10.1241,srv_10.txt
0.295099,13.9597,57.5038,46.5962,11.3171,10.7889,0.302325,1.04217,18.1063,2.18266,1.7476,17.2175,srv_25.txt
0.248412,33.3158,61.6365,60.1996,12.8551,11.4544,0.54986,4.43947,11.6315,5.42382,6.6893,19.9855,srv_44.txt
0.296314,18.2672,55.4185,53.5023,10.946,10.4109,0.443535,1.33186,17.6721,3.09171,4.20855,19.3227,server_028.txt
0.498898,5.91608,77.1925,17.2944,12.4636,9.98353,0.116965,0.74835,26.2514,5.35016,2.59182,7.32137,server_038.txt
0.58944,11.4175,11.0312,11.4356,2.29307,6.81125,0.77456,5.01928,37.214,8.77668,6.21676,5.08299,srv_8.txt
0.502547,6.37287,77.0508,17.3938,12.4323,10.0776,0.114145,0.560275,25.2162,5.72068,4.82955,7.48848,srv_32.txt
0.292939,19.1033,56.0951,49.4504,11.0678,10.6445,0.43304,1.37244,13.6077,3.88274,2.42342,20.0901,srv_73.txt
0.323011,16.4993,48.5513,38.9644,9.27945,8.973,0.054555,0.380065,17.6157,4.73332,8.91962,13.0535,srv_22.txt
0.598969,10.6135,9.71387,10.937,2.0866,5.88679,0.59891,5.8239,41.1525,7.42702,4.91884,4.36615,server_001.txt
0.326691,16.6553,47.3418,38.2492,9.04199,8.88305,0.06111,0.939155,13.3511,4.80839,8.1887,13.7572,server_023.txt
0.438894,24.156,25.7226,24.2936,3.90289,13.0496,1.79221,2.30422,18.5849,4.77095,4.09863,9.80848,srv_63.txt
0.325482,14.0069,48.5513,32.1219,9.27945,8.97369,0.071115,0.427215,16.0201,7.64053,11.1292,13.7354,srv_70.txt
,,,,,,,,,,,,client_005.txt
0.452688,23.746,25.6384,24.435,4.0038,13.025,1.61571,2.09077,18.4503,5.04087,4.00703,9.89957,srv_64.txt
0.444478,23.5479,23.8503,22.0132,3.67856,11.9472,1.91093,2.5318,20.2069,4.78675,5.21861,9.18156,srv_68.txt
0.300018,13.0369,57.0441,49.2773,11.2692,10.1411,0.150935,0.10284,21.9878,2.75631,13.6138,18.1752,srv_23.txt
0.499809,6.03959,76.6375,17.3744,12.3813,10.0297,0.117755,0.75335,25.4583,5.5902,4.10086,7.48402,server_037.txt
0.300526,17.415,53.3605,40.1207,10.2471,9.22664,0.053565,0.22994,14.3145,4.2798,13.5856,14.1675,srv_74.txt
0.302406,15.0356,57.2194,49.9984,11.2719,10.1945,0.147255,0.12278,21.937,3.15801,10.7336,18.1167,srv_15.txt
0.437378,18.6257,22.7763,20.313,4.21701,4.48207,0.57946,3.1354,16.9131,7.05457,6.62889,7.4867,srv_55.txt
0.512801,36.9255,45.5273,41.5965,7.69157,7.65401,0.39535,33.0895,24.5835,3.8943,0.53827,13.6068,srv_35.txt
0.665771,0.417065,14.7161,0.40864,4.94399,4.59446,0.00693,0.29253,23.9346,3.70123,4.48871,0.1541,server_002.txt
0.519739,37.0505,45.2671,41.6124,7.68371,7.61858,0.38147,33.1641,25.1069,3.74339,0.551516,13.4659,srv_75.txt
0.52598,38.7696,45.5907,45.2063,7.71449,7.58161,0.372635,32.8139,24.8535,3.53541,0.521219,12.5768,srv_33.txt
0.46271,39.0367,42.2898,44.6791,7.08017,8.03152,0.760575,27.922,22.0555,4.28284,2.67811,13.8435,server_018.txt
0.293254,18.089,56.6031,53.292,11.1386,10.1357,0.174,0.470685,13.7852,2.89493,8.35744,20.6994,server_030.txt
0.540257,11.8679,12.2391,25.7436,2.47523,6.23419,0.51943,6.94793,20.3798,5.45112,6.96609,10.9654,client_006.txt
0.521027,0.04068,77.1558,3.87234,10.7736,5.9109,0.00135,0.015605,13.3758,2.84951,0.401606,1.88667,server_039.txt
0.428496,18.6411,23.6951,20.7673,4.43053,4.916,0.519805,2.84392,19.7211,6.84578,8.14737,7.77047,srv_41.txt
0.340001,21.6451,17.2319,134.316,2.75163,43.4602,1.71861,2.49261,8.69375,4.55966,4.84886,55.0017,srv_1.txt
0.318236,30.8967,42.1922,38.8149,8.228,9.05551,0.698815,1.5509,14.3457,7.22811,9.28982,15.7636,srv_43.txt
0.303957,14.8291,52.8824,38.8418,10.1247,9.12986,0.04248,0.574095,17.2623,4.21095,9.74973,13.4695,server_027.txt
0.397753,26.1165,23.6858,39.2593,3.7471,19.3383,2.44661,2.25687,18.1466,6.103,5.87851,19.1251,server_010.txt
0.418526,27.6349,25.2905,25.3392,4.0271,12.5068,2.30745,2.16787,16.3097,4.44645,6.33522,10.0182,server_012.txt
0.303656,16.1102,52.6387,39.3216,10.0561,9.18229,0.04413,0.540355,17.8891,4.24401,10.0271,13.972,server_026.txt
0.301069,17.7891,53.0722,40.8447,10.1705,9.11578,0.047555,0.406275,13.6108,4.34966,10.1317,14.3256,srv_21.txt
,,,,,,,,,,,,client_004.txt
0.325994,15.7766,48.2042,37.5236,9.19062,8.96817,0.04868,0.568105,17.603,4.82995,7.41146,12.971,srv_13.txt
0.518513,38.442,45.3811,44.5438,7.6628,7.66949,0.411345,33.7886,24.6522,3.82074,0.318393,12.7139,srv_37.txt
0.287031,36.5446,42.4988,41.7277,8.20544,8.44674,0.77443,3.70324,14.1057,6.72964,8.90573,14.524,srv_52.txt
0.438876,24.8167,25.7414,25.4594,3.89372,12.9702,1.69735,2.3737,16.5953,4.72319,4.05677,10.1334,srv_2.txt
