IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.312505,6.7286,53.459,19.7649,10.2656,9.22884,0.04911,0.044225,-,-,-,14.1646,srv_26.txt
0.462696,16.7338,25.0763,14.2617,3.94903,12.8778,1.72371,1.62491,26.527,6.27751,4.36296,10.2199,srv_6.txt
0.50606,33.5518,45.295,34.8883,7.67502,7.56827,0.40043,31.8917,28.3644,4.20062,0.295492,15.0051,srv_36.txt
0.418222,13.2799,23.7205,12.0977,4.45493,5.23739,0.422295,1.9533,-,-,-,8.40488,srv_51.txt
0.330569,7.14187,49.5148,20.0724,9.4908,9.26933,0.046475,0.072235,22.5955,4.69876,0.36846,14.5667,srv_12.txt
0.349287,16.7251,32.1157,16.4693,6.31199,6.27907,0.46159,0.96342,24.0537,7.93459,12.2765,9.86795,srv_53.txt
0.429752,10.23,24.9519,12.9928,6.58415,6.18591,0.260645,2.06506,-,-,-,8.60259,srv_46.txt
0.634451,0.99597,28.5116,0.908055,7.9515,3.3898,0.01757,0.646985,-,-,-,0.42467,server_014.txt
0.502412,34.4826,45.2552,36.259,7.65623,7.64203,0.39189,31.8676,21.769,4.63297,0.698153,14.8365,srv_76.txt
0.52886,3.8172,16.1161,14.0647,2.69114,5.92623,0.086985,2.48458,25.2539,15.4269,11.0743,10.965,client_007.txt
0.566879,0.36003,71.6771,0.36599,9.23802,4.57496,0.007335,0.221875,-,-,-,0.15485,server_036.txt
0.482256,32.8894,44.6065,33.4977,7.46267,7.84734,0.612705,31.3683,17.1702,5.01238,0.253066,15.4991,server_020.txt
0.717468,2.54925,3.16264,2.56834,0.529665,8.99273,0.43547,1.37166,-,-,-,1.89902,srv_28.txt
0.254073,13.5575,65.7686,28.5178,13.7391,12.2882,0.54053,1.37852,-,-,-,19.8818,srv_45.txt
0.303458,8.0434,55.8936,33.2081,11.0051,10.474,0.27322,0.750225,23.1946,3.80365,4.56111,21.1047,server_029.txt
0.406357,20.0157,24.3413,14.7529,3.8064,11.873,2.13251,1.78752,27.216,5.97095,7.96355,10.3356,server_011.txt
0.377956,4.2539,62.9063,12.2511,10.1307,8.50561,0.082385,0.33681,-,-,-,10.3512,server_033.txt
0.356273,7.76647,3.46254,98.2857,0.70056,42.5511,0.48993,6.5495,4.74882,4.163,4.18196,65.5092,srv_9.txt
0.297899,4.21589,61.0081,22.6395,12.1334,9.86392,0.00646,0.008315,18.6308,3.14432,1.39535,16.1412,srv_16.txt
0.385012,1.57587,62.9755,13.3486,10.1618,7.9374,0.013455,0.03879,17.301,10.4658,5.91201,10.3144,server_034.txt
0.657007,9.29366,6.34211,11.9318,1.32745,1.57263,0.2389,7.93245,46.0292,5.13781,1.85538,6.30738,srv_40.txt
0.350492,4.06654,63.9321,13.7097,10.2213,8.61326,0.17037,3.14797,15.7207,9.18478,4.30574,10.6888,server_035.txt
0.424822,19.3712,25.8239,12.5068,4.0192,12.7521,2.27769,1.26314,30.7692,6.26911,1.45833,10.7515,srv_0.txt
0.504077,32.9374,45.6485,34.0573,7.71077,7.54798,0.38177,31.5343,27.4575,3.39649,0.221947,15.2255,srv_34.txt
0.416366,19.529,26.2724,12.636,4.11347,12.7571,2.32129,1.37772,-,-,-,10.8611,server_013.txt
0.252452,17.8294,0.000145,24.019,0.33067,0.33067,0.305385,17.8237,88.5906,1.05263,0,24.0095,602.gcc_s-1850B.txt
0.437916,17.6941,25.4658,12.5661,4.09023,11.8308,2.12857,1.62844,24.4688,6.03266,3.09943,10.5681,srv_7.txt
0.46649,14.6138,25.1088,12.0598,3.96569,12.8939,1.63363,1.53051,23.3216,3.22928,0.992556,10.4084,srv_67.txt
0.630892,3.51175,8.98425,4.57978,2.19496,3.07017,0.16424,0.95122,-,-,-,2.7381,client_002.txt
0.466935,15.0837,25.5222,12.2012,4.01355,11.7451,1.57144,1.41112,-,-,-,10.5471,srv_65.txt
0.444583,10.6454,21.3977,11.1127,5.20544,5.28122,0.43947,2.38223,-,-,-,7.49693,srv_49.txt
0.720196,2.42693,3.19185,2.4207,0.53352,9.04458,0.433065,1.24917,-,-,-,1.82536,srv_31.txt
0.646677,2.18657,9.6805,4.43863,2.60026,3.25714,0.00269,0.0017,-,-,-,3.13186,srv_58.txt
0.344041,13.1639,17.1107,61.802,2.69738,44.9331,1.57112,0.96255,-,-,-,59.9455,srv_11.txt
0.420564,19.5443,26.0549,12.7284,4.11016,12.7143,2.28967,1.38063,27.1161,5.46982,3.46344,10.7956,srv_61.txt
0.449881,5.39942,21.4894,18.5342,4.99641,15.2354,0.15569,2.37952,-,-,-,16.8191,client_008.txt
0.439578,11.9176,21.4025,11.9306,5.24485,5.17635,0.392085,2.99569,-,-,-,7.83598,srv_48.txt
0.410838,20.7191,26.3265,13.4185,4.12148,12.9058,2.53027,1.32641,15.3442,4.75105,1.87987,11.6132,srv_60.txt
0.425733,9.90585,25.6586,13.0308,6.7525,6.30188,0.28672,1.90907,-,-,-,8.70529,srv_47.txt
0.464806,15.1933,25.4865,12.4136,3.97637,12.9495,1.58799,1.55447,23.0675,6.58013,2.39269,10.6583,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.434567,32.611,42.3136,32.9545,7.0933,8.10913,0.97065,32.8748,10.4197,4.88407,0.48121,15.8654,server_017.txt
0.307381,4.64403,57.4395,28.188,11.3581,10.2909,0.14556,0.01868,-,-,-,22.0395,srv_71.txt
0.403351,14.8686,25.5391,13.2418,4.79754,5.0244,0.43145,2.32286,-,-,-,9.09047,srv_50.txt
0.30807,5.35985,56.4714,27.1675,11.1172,10.0166,0.13721,0.007855,23.0769,4.45296,4.95495,21.1545,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.436632,33.1802,42.5071,33.9302,7.14782,7.98891,0.84699,34.0538,36.8475,4.27059,0.60308,15.8167,server_019.txt
0.419635,20.2619,25.2938,14.4952,4.07732,12.3105,2.27065,1.70486,26.629,5.94545,8.57836,10.131,srv_69.txt
0.456295,17.1164,25.5228,14.433,3.85073,11.9063,1.65844,1.59209,26.7581,6.28365,4.45094,10.0997,srv_3.txt
0.515781,9.473,16.4163,8.86659,2.99563,3.12512,0.39032,1.47423,24.9399,8.26593,8.58622,5.51389,srv_54.txt
0.308148,5.37639,56.7243,24.6294,11.1786,10.5613,0.31075,0.23734,-,-,-,18.7111,srv_19.txt
0.301025,3.47785,60.6235,22.52,12.0737,9.85394,0.00613,0.00737,17.9877,3.19753,0.480769,16.0386,srv_72.txt
0.460929,17.2111,25.1923,14.605,3.96881,12.8438,1.71631,1.6733,26.7279,6.44865,4.7511,10.136,srv_66.txt
0.323892,6.45023,49.7613,18.6785,9.55165,8.8425,0.044935,0.374,18.5278,4.33371,5.54442,13.2687,server_025.txt
0.714864,2.67872,3.28732,2.68313,0.547285,9.04166,0.437045,1.46689,-,-,-,1.96331,srv_29.txt
0.61357,6.06637,9.62862,6.80367,1.65075,2.19496,0.072195,3.69495,90.9091,1.03806,0.805566,2.92255,client_003.txt
0.394115,16.8048,22.4361,28.9829,3.56161,23.5468,2.05138,1.22083,-,-,-,27.1772,server_009.txt
0.462159,15.267,25.7573,12.3349,4.03885,13.0661,1.5963,1.48161,26.8904,5.42767,2.48663,10.621,srv_5.txt
0.334742,8.01937,48.0783,19.3479,9.13976,8.94889,0.057005,0.65743,18.9809,4.38741,5.76541,13.6194,server_024.txt
0.612195,2.54508,11.2106,5.20298,3.00709,3.52663,0.003675,0.00192,-,-,-,3.67675,srv_59.txt
0.719015,2.52158,3.21889,2.51704,0.53748,9.03206,0.432645,1.32729,-,-,-,1.87373,srv_30.txt
0.300618,3.97773,60.6055,26.498,12.071,9.80475,0.005905,0.025145,23.5999,3.31748,61.7978,15.5882,server_032.txt
0.60398,3.23249,13.1988,6.47558,4.08771,4.49922,0.26548,0.42449,-,-,-,4.72975,srv_56.txt
0.649916,0.00123,29.9477,0.00255,8.43077,3.7187,2.5,0.00036,-,-,-,0.00216,server_015.txt
0.351705,15.1366,19.8355,40.7402,3.28187,30.3086,2.02693,1.69284,-,-,,38.827,server_004.txt
0.368115,15.4344,19.2066,13.7773,3.12486,9.32548,1.64719,2.80502,-,-,-,11.4143,server_003.txt
,,,,,,,,,,,,RL+BOP.csv
0.299829,4.28616,60.6553,26.477,12.0808,9.82947,0.007455,0.00819,23.6078,3.86213,0.888099,15.6311,srv_17.txt
0.45378,17.1774,25.6464,14.4317,3.87377,12.8374,1.70689,1.59842,26.5064,6.01055,4.3908,10.2083,srv_62.txt
0.602574,3.75563,12.6251,6.47528,4.19086,4.69922,0.367485,0.80665,-,-,-,4.77417,srv_57.txt
0.499715,32.7241,45.4011,33.7551,7.6713,7.49216,0.374295,30.3953,9.51036,5.13932,2.21106,15.3133,server_021.txt
0.335241,16.8331,42.2919,22.6153,8.25389,9.11687,0.593935,0.43869,12.6429,4.93169,0.833868,16.0208,srv_42.txt
0.307943,6.56856,55.7347,28.5688,10.9349,10.3574,0.27721,0.24754,-,-,-,22.512,srv_18.txt
0.546737,5.29873,5.97978,10.2461,1.19741,5.69094,0.079485,2.51119,-,-,-,9.01852,client_001.txt
0.507089,34.3402,45.646,35.7435,7.71359,7.6193,0.36637,31.5671,28.1026,4.00051,0.465191,14.6161,server_022.txt
0.511324,34.1458,45.525,35.6455,7.70153,7.58582,0.39171,31.7263,28.22,4.11825,0.279032,14.6025,srv_39.txt
0.302803,5.23461,57.5072,23.947,11.3207,10.7226,0.27506,0.646435,19.7082,3.80474,7.42166,17.9353,server_031.txt
0.7216,2.35045,3.0373,2.33446,0.51147,8.89926,0.42842,1.18769,-,-,-,1.78178,srv_27.txt
0.312239,7.47296,53.0825,19.8093,10.1684,9.20869,0.041375,0.065415,-,-,-,14.1607,srv_20.txt
0.429269,19.1159,25.2172,12.6877,3.97169,12.5747,2.31812,1.1944,26.2237,5.27155,2.48584,10.8105,srv_10.txt
0.305416,5.18079,57.5038,24.6805,11.3171,10.7891,0.277365,0.227835,17.3907,3.80048,2.019,18.6424,srv_25.txt
0.261721,14.5329,61.6363,27.8525,12.8551,11.4532,0.506145,2.12861,21.969,4.7561,6.92568,19.2425,srv_44.txt
0.309469,5.5787,55.4185,28.8768,10.946,10.4109,0.383785,0.57986,24.2659,4.05123,7.08551,21.6611,server_028.txt
0.499711,3.18271,77.1925,9.41452,12.4636,9.9821,0.11427,0.43814,32.6275,8.34716,2.1875,7.16603,server_038.txt
0.583531,9.31878,11.0312,8.3515,2.29306,6.84595,0.75791,3.86867,-,-,-,6.51249,srv_8.txt
0.506287,3.55923,77.0508,9.11307,12.4323,10.0756,0.11234,0.13683,32.7025,7.65122,2.22761,7.09178,srv_32.txt
0.305019,7.32977,56.0951,27.7609,11.0678,10.6444,0.32157,0.54851,22.3013,4.07601,2.45222,20.6636,srv_73.txt
0.333187,8.15493,48.5513,19.9426,9.27944,8.9734,0.049245,0.111365,18.9188,4.35335,2.7833,13.8716,srv_22.txt
0.595765,8.53714,9.71386,8.03605,2.0866,5.89826,0.588475,4.41208,-,-,-,6.08834,server_001.txt
0.336953,8.75057,47.3417,22.1455,9.04199,8.88282,0.05452,0.70639,21.4826,7.74502,11.6776,13.3904,server_023.txt
0.451003,16.0768,25.7226,12.6278,3.90289,13.0497,1.77881,1.56843,19.7933,4.92884,4.33684,10.5131,srv_63.txt
0.334435,7.19973,48.5513,19.5108,9.27945,8.97358,0.049245,0.1162,19.0602,4.47525,2.68456,13.894,srv_70.txt
,,,,,,,,,,,,client_005.txt
0.463517,16.491,25.6384,13.6651,4.0038,13.0251,1.60303,1.52953,26.8397,6.29229,4.57486,10.4294,srv_64.txt
0.452288,18.1773,23.8504,13.8994,3.67856,11.9477,1.8952,1.66788,27.8689,6.21298,6.43598,9.72597,srv_68.txt
0.308746,4.78686,57.0441,27.8395,11.2692,10.1411,0.14673,0.008265,-,-,,21.7742,srv_23.txt
0.50111,3.29375,76.6375,9.30628,12.3813,10.028,0.11419,0.440045,32.6974,7.2491,3.59047,7.11853,server_037.txt
0.30955,9.57548,53.3605,23.4097,10.2471,9.22638,0.04646,0.056305,22.4098,5.82748,3.80493,13.8316,srv_74.txt
0.313732,4.93666,57.2194,27.4205,11.2719,10.1944,0.14378,0.010125,18.4466,2.98805,0,21.4031,srv_15.txt
