IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.304591,12.4172,53.459,30.8195,10.2656,9.2284,0.058525,0.16819,2.15833,4.40981,4.17645,15.6615,srv_26.txt
0.460661,18.6354,25.0763,17.0895,3.94903,12.8767,1.72858,1.74879,25.064,5.61881,4.09727,9.90345,srv_6.txt
0.521661,36.3599,45.295,40.0234,7.67502,7.56906,0.40252,32.5023,27.484,4.03452,0.255769,13.0999,srv_36.txt
0.409851,17.3849,23.7205,17.3369,4.45493,5.2373,0.4341,2.63515,10.5067,5.07956,5.67698,8.65598,srv_51.txt
0.322465,12.5624,49.5148,32.7374,9.4908,9.26947,0.051875,0.16643,17.3235,3.35865,3.38128,14.2189,srv_12.txt
0.347611,18.207,32.1157,19.2047,6.31199,6.27925,0.4607,1.09,23.8819,7.56027,6.09564,9.56146,srv_53.txt
0.422052,13.8896,24.9519,18.721,6.58415,6.18723,0.28224,2.73423,4.37826,5.56423,4.47475,9.21057,srv_46.txt
0.634451,0.99597,28.5116,0.908055,7.9515,3.3898,0.01757,0.646985,-,-,-,0.42467,server_014.txt
0.505398,35.9367,45.2552,39.1689,7.65623,7.64311,0.39232,31.3176,21.7679,4.36829,0.847387,14.1267,srv_76.txt
0.536812,4.78184,16.1161,23.6999,2.69114,5.92475,0.0877,2.88699,21.6458,13.6815,13.2132,11.726,client_007.txt
0.566879,0.36003,71.6771,0.36599,9.23802,4.57496,0.007335,0.221875,-,-,-,0.15485,server_036.txt
0.487958,35.8282,44.6065,38.4669,7.46267,7.8441,0.61772,32.3262,21.8005,5.97398,0.380718,14.785,server_020.txt
0.717468,2.54925,3.16264,2.56834,0.529665,8.99273,0.43547,1.37166,-,-,-,1.89902,srv_28.txt
0.244873,24.6814,65.7686,46.5031,13.7391,12.2899,0.58442,2.27744,4.43847,5.2721,6.43656,21.8023,srv_45.txt
0.300913,10.2123,55.8936,40.4045,11.0051,10.4739,0.27605,0.914055,22.6695,2.66443,3.07929,19.6859,server_029.txt
0.406276,21.1374,24.3413,16.9496,3.8064,11.8722,2.1348,1.83438,27.3462,5.31265,6.37482,9.95086,server_011.txt
0.37358,6.46439,62.9063,22.0693,10.1307,8.50571,0.13959,0.653745,0.704665,12.2455,20.0326,13.6773,server_033.txt
0.359784,9.46523,3.46254,100.782,0.70056,42.5511,0.494085,7.58357,5.39481,4.46269,6.06338,65.2967,srv_9.txt
0.295356,6.38113,61.0081,32.8225,12.1334,9.86401,0.00662,0.009605,18.4942,1.4048,0.198413,15.8598,srv_16.txt
0.382418,2.23714,62.9755,23.2999,10.1618,7.93729,0.01341,0.05643,17.1491,10.0837,9.01974,12.2924,server_034.txt
0.662918,9.76038,6.34211,13.5827,1.32745,1.57256,0.240105,8.0977,36.5984,5.60359,1.6683,5.83792,srv_40.txt
0.351903,5.02984,63.9321,25.1727,10.2213,8.61485,0.17232,3.93526,15.6849,8.9129,2.66001,13.0891,server_035.txt
0.419478,23.043,25.8239,17.6881,4.0192,12.7528,2.28375,1.52467,13.5503,4.23498,2.35922,10.8517,srv_0.txt
0.519406,36.4962,45.6485,40.5156,7.71077,7.54506,0.38584,32.4791,27.6305,3.23363,0.222692,13.0917,srv_34.txt
0.40959,24.3162,26.2724,18.5321,4.11347,12.7565,2.49827,1.6746,6.15867,6.37151,29.6737,11.3074,server_013.txt
0.25267,17.922,0.000145,25.7709,0.330705,0.330705,0.30435,17.9136,60.3837,7.23073,0.94283,22.6576,602.gcc_s-1850B.txt
0.432558,21.1884,25.4658,17.6127,4.09023,11.8292,2.1341,1.87539,14.1691,4.2843,1.61495,10.7085,srv_7.txt
0.456983,19.7666,25.1088,18.8587,3.96569,12.8956,1.72066,1.82428,6.40864,6.85899,18.8889,10.9742,srv_67.txt
