IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.313881,7.12976,53.459,20.4773,10.2656,9.22846,0.04972,0.063255,62.9544,16.0346,58.11,11.8321,srv_26.txt
0.464748,14.9328,25.0763,12.2798,3.94903,12.8817,1.72356,1.52306,48.7891,62.6431,19.7957,10.4285,srv_6.txt
0.519204,33.0697,45.295,34.1597,7.67502,7.56846,0.399985,31.5908,33.1703,1.18446,0.260236,14.0094,srv_36.txt
0.418138,13.3596,23.7205,12.198,4.45493,5.2391,0.428305,1.97294,34.4956,8.11806,1.55929,8.35929,srv_51.txt
0.33149,7.51288,49.5148,20.6955,9.4908,9.26939,0.048675,0.091005,57.2444,15.1599,42.2347,12.2954,srv_12.txt
0.351334,15.0748,32.1158,14.4436,6.31199,6.27904,0.463895,0.75764,40.8172,21.3825,5.3271,10.0207,srv_53.txt
0.429741,10.2988,24.9519,13.0696,6.58415,6.18595,0.26523,2.03097,43.2109,7.1294,1.0227,8.43915,srv_46.txt
0.634829,1.00443,28.5116,0.91858,7.95149,3.38979,0.01742,0.655895,30.7703,4.69436,8.00311,0.40384,server_014.txt
0.515276,33.1864,45.2552,34.1972,7.65623,7.64178,0.391795,31.8275,33.3802,1.1895,0.347885,14.0328,srv_76.txt
0.528259,3.69576,16.1161,13.0162,2.69113,5.9274,0.086935,2.40983,54.7195,48.3797,15.8023,10.7403,client_007.txt
0.56718,0.363775,71.6771,0.371895,9.23802,4.57496,0.007325,0.22489,29.8447,5.09419,9.45896,0.14789,server_036.txt
0.496684,33.0126,44.6065,33.6776,7.46267,7.84741,0.61784,31.4716,33.5208,1.1501,0.278162,14.1877,server_020.txt
0.718272,2.56815,3.16264,3.70525,0.529665,8.98915,0.43437,1.39152,11.9939,3.07584,2.66226,2.08347,srv_28.txt
0.255337,14.0159,65.7686,29.2431,13.7391,12.2913,0.539905,1.40685,66.5671,20.4966,1.15756,17.0024,srv_45.txt
0.309088,6.33537,55.8936,29.0628,11.0051,10.4746,0.27905,0.639905,66.139,11.3512,4.8907,14.1867,server_029.txt
0.40757,18.2185,24.3413,12.6034,3.8064,11.888,2.13282,1.65571,48.2334,66.489,52.0256,10.6687,server_011.txt
0.379036,4.3368,62.9063,13.5925,10.1307,8.50562,0.083475,0.346245,53.8315,18.2128,45.8988,9.40743,server_033.txt
0.386362,7.74332,3.46254,67.0154,0.70056,42.5514,0.490485,6.33326,49.8996,31.5596,16.4975,47.4969,srv_9.txt
0.302532,4.21578,61.0081,22.9905,12.1334,9.86422,0.009065,0.01002,71.78,6.77047,186.088,9.81508,srv_16.txt
0.386622,1.38949,62.9755,12.9093,10.1618,7.93736,0.01352,0.027225,54.8599,33.5897,32.1053,9.09244,server_034.txt
0.670157,9.28832,6.34211,11.8969,1.32745,1.57253,0.2389,7.9314,29.2839,0.709316,0.0802042,5.84596,srv_40.txt
0.35125,3.91595,63.9321,13.4563,10.2213,8.61318,0.17522,3.06128,53.4118,18.5163,13.6658,9.55927,server_035.txt
0.424926,19.4337,25.8239,12.593,4.0192,12.7498,2.28098,1.30716,48.5038,60.2203,23.5864,10.6651,srv_0.txt
0.520337,32.8715,45.6485,33.9795,7.71077,7.54741,0.384635,31.5069,33.1451,1.12213,0.277923,13.9723,srv_34.txt
0.416421,19.588,26.2724,12.723,4.11348,12.7595,2.32442,1.38227,47.1667,76.5456,46.7236,10.7804,server_013.txt
0.259332,17.8294,0.000145,24.0234,0.3306,0.3306,0.30522,17.8234,51.0919,0.174513,0.000705186,23.2418,602.gcc_s-1850B.txt
0.438422,17.5549,25.4658,12.4782,4.09023,11.8332,2.1251,1.57374,47.9736,64.2537,26.7974,10.5013,srv_7.txt
0.466468,14.7042,25.1088,12.1562,3.96569,12.892,1.63723,1.5306,48.6137,65.6039,39.4737,10.3182,srv_67.txt
0.630894,3.52959,8.98425,4.61589,2.19496,3.07028,0.168275,0.95345,45.2136,5.30482,63.8225,2.68453,client_002.txt
0.466985,15.1616,25.5222,12.3095,4.01355,11.7488,1.57746,1.41733,46.018,67.8603,44.012,10.4595,srv_65.txt
0.44445,10.688,21.3977,11.157,5.20544,5.28116,0.443255,2.4001,45.1867,13.1347,4.25532,7.40663,srv_49.txt
0.721075,2.44542,3.19185,3.20917,0.53352,9.04257,0.4316,1.26486,14.0315,3.28175,2.48833,1.91841,srv_31.txt
0.646519,2.21394,9.6805,4.55894,2.60026,3.25697,0.002655,0.0027,25.4031,35.7484,27.2727,3.13835,srv_58.txt
0.368777,13.2445,17.1107,61.9505,2.69738,44.9331,1.57787,0.970465,52.0288,57.2979,11.4658,42.6721,srv_11.txt
0.420859,19.4711,26.0549,12.684,4.11016,12.7159,2.29334,1.32994,46.5471,67.8099,31.3225,10.7369,srv_61.txt
0.450078,5.41228,21.4894,18.7882,4.99641,15.2354,0.15932,2.38271,39.3353,12.9294,2.78225,16.7721,client_008.txt
0.439801,11.9704,21.4025,11.9778,5.24485,5.17642,0.3951,3.01316,38.7454,4.29378,1.14269,7.71843,srv_48.txt
0.410954,20.7521,26.3265,13.4673,4.12148,12.9049,2.53112,1.30467,46.8382,69.4464,45.7064,11.5313,srv_60.txt
