IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.314322,7.54749,53.459,21.2009,10.2656,9.2283,0.053055,0.09595,56.9577,17.3959,37.3702,11.1222,srv_26.txt
0.464454,15.1347,25.0763,12.3934,3.94903,12.8799,1.73418,1.5434,49.1905,45.9761,23.4403,10.3041,srv_6.txt
0.518442,33.1574,45.295,34.2836,7.67502,7.56823,0.400645,31.6195,29.7939,2.2489,0.327152,14.2605,srv_36.txt
0.417891,13.4971,23.7205,12.3571,4.45493,5.23921,0.431365,2.00556,37.3221,13.3861,4.67009,8.29985,srv_51.txt
0.331792,7.90281,49.5148,21.2908,9.4908,9.26933,0.052945,0.12559,51.3602,16.0256,28.6826,11.7748,srv_12.txt
0.35076,15.4805,32.1157,14.7618,6.31199,6.27972,0.46905,0.825305,43.3472,23.8765,10.3398,9.82493,srv_53.txt
0.429846,10.4877,24.9519,13.2604,6.58416,6.18645,0.273235,2.12702,45.1889,19.3999,3.82415,8.29811,srv_46.txt
0.634953,1.01006,28.5116,0.93053,7.95149,3.38982,0.0174,0.664875,26.4869,8.48977,9.40353,0.40893,server_014.txt
0.514785,33.2841,45.2552,34.335,7.65623,7.64206,0.392445,31.7298,30.3468,2.13118,0.439632,14.2573,srv_76.txt
0.528488,3.71495,16.1161,13.091,2.69113,5.92864,0.08893,2.41978,46.4318,42.0109,17.2787,10.7061,client_007.txt
0.567105,0.369125,71.6771,0.388435,9.23802,4.57496,0.00732,0.229555,25.6709,16.7386,14.4566,0.149175,server_036.txt
0.496884,33.0961,44.6065,33.7994,7.46267,7.8477,0.61909,31.4882,30.2175,2.05591,0.301589,14.4085,server_020.txt
0.718157,2.57999,3.16264,4.01363,0.529665,8.98914,0.43438,1.40563,5.34381,4.93887,3.07569,2.14931,srv_28.txt
0.255346,14.4895,65.7686,29.8726,13.7391,12.294,0.539915,1.46327,59.0589,19.9994,5.63699,16.5843,srv_45.txt
0.309015,6.69986,55.8936,29.6896,11.0051,10.4747,0.283795,0.670335,56.945,14.6437,5.72483,14.8475,server_029.txt
0.407466,18.367,24.3413,12.7164,3.8064,11.8752,2.14479,1.67647,46.9753,48.6526,37.9923,10.5747,server_011.txt
0.378595,4.52651,62.9063,14.6684,10.1307,8.50562,0.084665,0.38538,46.9244,16.9853,31.0335,9.6268,server_033.txt
0.384472,7.77608,3.46254,67.2274,0.70056,42.5543,0.491375,6.36363,40.3813,23.393,8.73286,51.1431,srv_9.txt
0.302433,4.49052,61.008,23.7512,12.1334,9.86425,0.009275,0.01742,63.6727,9.78182,108.751,10.0201,srv_16.txt
0.386405,1.50781,62.9755,13.9454,10.1618,7.93733,0.01364,0.031715,47.8177,28.2733,44.4444,9.30706,server_034.txt
0.670035,9.31575,6.34211,11.9405,1.32745,1.57265,0.240385,7.94066,30.8351,0.869194,0.201598,5.86444,srv_40.txt
0.351392,4.0471,63.9321,14.5036,10.2213,8.6132,0.184345,3.12497,46.0635,23.7876,10.2599,9.8303,server_035.txt
0.424926,19.5753,25.8239,12.6941,4.0192,12.7499,2.28669,1.31633,49.0823,46.6098,28.2544,10.5523,srv_0.txt
0.519759,32.9792,45.6485,34.125,7.71077,7.5474,0.38545,31.5359,29.8823,2.14487,0.336544,14.2205,srv_34.txt
0.416379,19.7426,26.2724,12.8239,4.11348,12.7574,2.33433,1.40174,49.1942,46.8618,33.1122,10.6575,server_013.txt
0.268671,17.8299,0.000145,23.9708,0.33059,0.33059,0.305165,17.8237,56.4711,0.17111,0.000173039,22.3082,602.gcc_s-1850B.txt
0.43839,17.7175,25.4658,12.5964,4.09023,11.8326,2.13418,1.59613,48.6054,39.2928,20.5154,10.3741,srv_7.txt
0.466439,14.8598,25.1088,12.277,3.96569,12.8918,1.64511,1.54923,48.3866,44.018,23.9451,10.2007,srv_67.txt
0.630696,3.60659,8.98424,4.77871,2.19496,3.07036,0.174065,0.96101,30.1347,14.8548,42.4144,2.70865,client_002.txt
0.466937,15.3425,25.5222,12.427,4.01355,11.7471,1.57977,1.43706,48.6929,47.276,24.0902,10.3217,srv_65.txt
0.444179,10.8181,21.3978,11.2579,5.20544,5.28159,0.45022,2.44334,40.9736,24.4582,8.85219,7.36959,srv_49.txt
0.720579,2.45402,3.19185,2.99641,0.53352,9.04244,0.43143,1.2741,5.27058,7.21157,4.0347,1.95823,srv_31.txt
0.645897,2.33663,9.6805,4.75173,2.60026,3.25705,0.00259,0.005755,20.2221,30.2233,21.5942,3.18822,srv_58.txt
0.365004,13.3352,17.1107,62.0293,2.69738,44.9334,1.57755,0.98479,48.4514,57.0987,19.5068,45.2164,srv_11.txt
0.420782,19.6171,26.0549,12.7919,4.11016,12.715,2.30327,1.35282,47.9383,47.0303,29.6692,10.624,srv_61.txt
0.450227,5.44143,21.4894,19.0832,4.99641,15.2357,0.161385,2.38794,34.7964,16.5925,6.08335,16.7811,client_008.txt
0.439584,12.0966,21.4025,12.085,5.24485,5.17671,0.39904,3.05679,37.8654,13.2827,3.97136,7.68128,srv_48.txt
0.410947,20.8821,26.3265,13.5666,4.12148,12.9048,2.53867,1.32379,49.022,46.351,23.4991,11.4108,srv_60.txt
0.425044,10.1784,25.6586,13.2881,6.7525,6.30237,0.298115,1.94287,46.9131,23.5664,6.62622,8.37953,srv_47.txt
0.464911,15.3603,25.4865,12.5478,3.97637,12.9469,1.59809,1.54319,48.0657,44.0683,21.9015,10.4535,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.446087,32.8178,42.3136,33.2644,7.0933,8.10965,0.97677,33.0135,30.3119,2.17845,0.317351,14.8263,server_017.txt
0.311483,5.36688,57.4395,29.64,11.3581,10.2909,0.147185,0.05123,57.4991,10.4192,52.0475,14.4097,srv_71.txt
0.403186,15.0954,25.5391,13.4719,4.79754,5.02451,0.435475,2.37375,38.7589,12.2617,3.30784,8.95412,srv_50.txt
0.311875,6.17237,56.4714,28.5571,11.1172,10.0167,0.13603,0.028635,56.9783,10.9512,55.2947,14.0347,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.447143,33.2608,42.5071,34.0506,7.14782,7.98809,0.851945,34.0134,30.3707,2.22695,0.385248,14.8871,server_019.txt
0.421166,18.6102,25.2938,12.4357,4.07732,12.3107,2.28465,1.53631,43.8583,46.8919,34.3947,10.373,srv_69.txt
0.458818,15.3514,25.5228,12.338,3.85073,11.9065,1.66575,1.49394,49.3502,42.8844,26.5247,10.2085,srv_3.txt
0.515572,9.20036,16.4163,8.42176,2.99563,3.1255,0.39658,1.42399,28.6947,19.4311,6.03087,5.55947,srv_54.txt
0.311635,5.9452,56.7243,26.1785,11.1786,10.5613,0.33615,0.32388,59.1578,13.2479,15.1618,12.6697,srv_19.txt
0.306142,3.56596,60.6235,23.6335,12.0737,9.85416,0.010275,0.01573,63.0906,9.82618,121.384,10.0108,srv_72.txt
0.463319,15.362,25.1923,12.3854,3.9688,12.847,1.72643,1.56196,48.4822,44.6828,29.1543,10.2814,srv_66.txt
0.325552,7.13802,49.7613,19.791,9.55164,8.8431,0.051325,0.426325,56.8748,18.4751,15.5739,10.5734,server_025.txt
0.716116,2.70612,3.28732,2.79594,0.547285,9.04139,0.43596,1.49787,15.6823,3.68176,3.21965,1.92984,srv_29.txt
0.617947,6.11486,9.62862,6.90857,1.65075,2.19576,0.072805,3.7161,48.3055,2.04478,1.60069,2.67528,client_003.txt
0.403328,16.9932,22.4361,29.2132,3.56161,23.5459,2.06374,1.23728,42.659,54.3352,35.3045,22.6647,server_009.txt
0.462308,15.4649,25.7573,12.504,4.03885,13.0638,1.60678,1.47822,49.0972,40.9302,20.6217,10.4002,srv_5.txt
0.336064,8.58003,48.0783,20.2856,9.13976,8.94884,0.0636,0.715025,49.9803,16.15,8.23262,11.3059,server_024.txt
0.611009,2.76665,11.2106,5.62554,3.00709,3.52663,0.0036,0.00645,21.4316,34.9183,18.9937,3.76482,srv_59.txt
0.720199,2.55181,3.21889,3.95328,0.53748,9.02736,0.431515,1.35753,6.48723,5.08603,2.01901,2.16701,srv_30.txt
0.306177,3.28023,60.6055,23.5131,12.071,9.80512,0.009,0.031325,63.4129,8.31605,156.593,9.99087,server_032.txt
0.602448,3.45919,13.1988,6.97421,4.08766,4.4993,0.266595,0.46197,24.6685,37.9211,20.339,4.75596,srv_56.txt
0.650315,0.00192,29.9477,0.138405,8.43077,3.71838,0.138405,0.00092,9.02641,40,3.26087,0.102795,server_015.txt
0.363895,15.3108,19.8355,41.09,3.28187,30.3137,2.04175,1.71871,47.4491,43.206,31.3189,30.4216,server_004.txt
0.367985,15.585,19.2066,13.9408,3.12486,9.32371,1.65792,2.84285,40.7002,43.2089,29.2916,11.3296,server_003.txt
0.30519,3.84209,60.6553,23.6253,12.0808,9.82979,0.00959,0.01575,63.5912,10.3346,116.975,9.96626,srv_17.txt
0.456111,15.4528,25.6464,12.4414,3.87377,12.8364,1.71194,1.49697,49.8834,44.7941,28.3085,10.3019,srv_62.txt
0.601485,3.94172,12.6251,6.91632,4.19071,4.69924,0.368995,0.846145,26.573,40.6264,18.6245,4.77369,srv_57.txt
0.516298,32.9615,45.4011,34.1025,7.6713,7.49187,0.380775,30.7841,30.0841,1.96514,0.482973,14.193,server_021.txt
0.336142,17.7345,42.2919,23.7248,8.25389,9.12147,0.60002,0.483385,55.6605,18.5833,35.7501,14.0523,srv_42.txt
0.311399,7.33144,55.7347,30.1057,10.9349,10.3573,0.321105,0.337115,56.5602,11.3192,13.8095,14.9781,srv_18.txt
0.546934,5.31099,5.97978,10.2715,1.19741,5.69097,0.07963,2.51845,49.9707,38.7035,17.735,8.97121,client_001.txt
0.516387,33.2932,45.646,34.162,7.71359,7.61893,0.3719,30.7431,29.6749,2.09477,0.444843,14.1985,server_022.txt
0.522366,33.0529,45.5251,34.1016,7.70153,7.58501,0.39362,31.1947,30.0233,2.09405,0.268599,14.1652,srv_39.txt
0.306604,5.78472,57.5072,25.4238,11.3207,10.7232,0.287635,0.70578,60.3099,13.732,5.4319,12.3167,server_031.txt
0.722034,2.37419,3.0373,3.95334,0.51147,8.89569,0.42774,1.20931,3.99972,5.67584,3.1099,2.10197,srv_27.txt
0.313615,8.48524,53.0825,21.213,10.1684,9.20794,0.04525,0.12928,56.1421,19.3361,27.7606,11.1462,srv_20.txt
0.429375,19.281,25.2172,12.8295,3.97169,12.5735,2.32732,1.19307,48.0331,45.1623,30.6318,10.6374,srv_10.txt
0.308933,5.88291,57.5038,26.1999,11.3171,10.7891,0.306785,0.31054,59.8171,14.7621,21.23,12.5507,srv_25.txt
0.263299,15.4193,61.6363,29.0843,12.8551,11.4597,0.505755,2.20594,58.504,19.2533,3.95724,16.2273,srv_44.txt
