IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.313296,6.74956,53.459,19.8084,10.2656,9.2285,0.049035,0.04612,66.4837,18.4611,32.8358,13.2323,srv_26.txt
0.464823,14.8688,25.0763,12.1814,3.94903,12.8788,1.72089,1.5178,44.6214,50.0597,18.1818,10.4833,srv_6.txt
0.502581,32.9233,45.295,33.9565,7.67502,7.56792,0.4,31.4566,33.322,18.6964,3.32512,15.3481,srv_36.txt
0.418176,13.3042,23.7205,12.1259,4.45493,5.23799,0.429045,1.9559,31.3076,15.1515,45.4545,8.40117,srv_51.txt
0.331094,7.13962,49.5148,20.0853,9.4908,9.26936,0.047035,0.06481,49.259,20.0732,19.8529,13.663,srv_12.txt
0.351603,14.8905,32.1157,14.2717,6.31199,6.27904,0.4605,0.733945,58.7956,25.2308,48.6842,10.0797,srv_53.txt
0.429763,10.2367,24.9519,12.9998,6.58415,6.18595,0.26117,2.07319,64.9028,26.2557,18.9474,8.58493,srv_46.txt
0.634617,0.99788,28.5116,0.910685,7.95149,3.38982,0.017535,0.648735,30.9622,5.34759,8.45908,0.418675,server_014.txt
0.51221,33.0875,45.2552,34.063,7.65623,7.64208,0.391795,31.6934,35.4636,1.16303,0.425552,14.5786,srv_76.txt
0.527969,3.69309,16.1161,13.0031,2.69114,5.92618,0.08679,2.4076,45.3933,77.3243,11.8694,10.9381,client_007.txt
0.567002,0.361685,71.6771,0.368785,9.23802,4.57496,0.007345,0.222605,17.4662,33.617,33.0435,0.154235,server_036.txt
0.482232,32.8657,44.6065,33.4621,7.46267,7.84736,0.613225,31.3556,36.5275,10.275,0.562771,15.4668,server_020.txt
0.717767,2.54753,3.16264,2.57065,0.529665,8.9926,0.434135,1.37177,13.009,28.6408,4,1.89826,srv_28.txt
0.254798,13.5698,65.7686,28.5227,13.7391,12.2882,0.540395,1.37825,74.6817,19.8606,30,18.6908,srv_45.txt
0.307618,5.91559,55.8936,28.2705,11.0051,10.4741,0.27316,0.60613,58.9083,10.6288,11.1896,17.6456,server_029.txt
0.407546,18.1761,24.3413,12.5425,3.8064,11.8795,2.13053,1.65102,51.8409,41.5374,28.5714,10.7081,server_011.txt
0.378725,4.2596,62.9063,12.5096,10.1307,8.50559,0.082545,0.338945,54.6264,17.0178,49.4505,9.84756,server_033.txt
0.376846,7.74353,3.46254,67.0245,0.70056,42.5518,0.490065,6.37253,51.2497,69.2668,41.1154,51.6446,srv_9.txt
0.300697,3.96701,61.0081,22.0751,12.1334,9.86411,0.006505,0.00552,72.2486,2.96664,37.1795,12.8113,srv_16.txt
0.386256,1.32903,62.9755,11.9033,10.1618,7.93735,0.01353,0.026185,55.5946,33.3675,65.7895,9.51248,server_034.txt
0.661342,9.28391,6.34211,11.8769,1.32745,1.57259,0.23897,7.92656,25.3733,0.662429,0.0949566,6.18112,srv_40.txt
0.35087,3.88029,63.9321,12.3758,10.2213,8.61316,0.17023,3.04645,53.2654,11.4735,5.30811,9.90185,server_035.txt
0.424951,19.3705,25.8239,12.5096,4.0192,12.7499,2.27829,1.25896,51.0682,47.5688,13.2075,10.7128,srv_0.txt
0.516975,32.7824,45.6485,33.8228,7.71077,7.54785,0.383355,31.4489,34.8802,1.08644,0.29969,14.5155,srv_34.txt
