IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.313528,6.75082,53.459,19.8222,10.2656,9.22838,0.04908,0.04669,69.5089,17.762,27.4194,13.0139,srv_26.txt
0.464829,14.8686,25.0763,12.1814,3.94903,12.8786,1.72088,1.51768,50.705,49.9342,6.25,10.476,srv_6.txt
0.502519,32.9172,45.295,33.9557,7.67502,7.56829,0.399955,31.4651,34.9725,15.3782,1.81471,15.3466,srv_36.txt
0.418206,13.2999,23.7205,12.1218,4.45493,5.23803,0.42871,1.95625,44.4651,18.1544,38.5185,8.39294,srv_51.txt
0.331251,7.14365,49.5148,20.0769,9.4908,9.26935,0.047085,0.06425,59.3843,26.0099,25.498,13.5905,srv_12.txt
0.351615,14.892,32.1157,14.2761,6.31199,6.27912,0.460255,0.735145,62.9736,25.1856,21.374,10.0669,srv_53.txt
0.429792,10.2365,24.9519,12.9995,6.58415,6.18591,0.2611,2.08135,63.7615,25.304,21.7593,8.58238,srv_46.txt
0.634668,0.998795,28.5116,0.91172,7.95149,3.38983,0.017495,0.64978,32.6889,6.57235,8.28149,0.41765,server_014.txt
0.5122,33.0903,45.2552,34.0659,7.65623,7.64188,0.391845,31.7577,35.265,1.22016,0.375187,14.5766,srv_76.txt
0.52805,3.69425,16.1161,13.0051,2.69114,5.92628,0.087015,2.40825,45.6475,57.7876,15.0943,10.8969,client_007.txt
0.567029,0.36215,71.6771,0.36962,9.23802,4.57496,0.007345,0.223125,16.4237,34.1137,27.8481,0.15413,server_036.txt
0.494139,32.9276,44.6065,33.5373,7.46267,7.84704,0.615435,31.4054,34.3781,1.13187,0.255292,14.7224,server_020.txt
0.717683,2.5583,3.16264,2.58239,0.529665,8.99267,0.434325,1.38566,29.4609,2.21477,5.33695,1.87181,srv_28.txt
0.255122,13.5671,65.7686,28.5254,13.7391,12.2881,0.54061,1.38262,75.4396,19.6111,13.3166,18.2683,srv_45.txt
0.308325,5.92042,55.8936,28.294,11.0051,10.4741,0.27332,0.607025,60.7479,9.81622,3.09752,16.988,server_029.txt
0.407567,18.1824,24.3413,12.5462,3.8064,11.8742,2.1314,1.65074,51.2449,69.1979,55.0562,10.7095,server_011.txt
0.378923,4.26147,62.9063,12.5411,10.1307,8.50558,0.08254,0.34128,54.5613,21.4929,35.0453,9.66406,server_033.txt
0.377463,7.74406,3.46254,67.0284,0.70056,42.5519,0.490185,6.39281,51.0063,65.7061,35.4399,51.6021,srv_9.txt
0.301494,3.96494,61.0081,22.0799,12.1334,9.86407,0.00658,0.00562,73.8821,3.26191,36.036,11.9937,srv_16.txt
0.386511,1.34349,62.9755,11.9446,10.1618,7.93735,0.01353,0.02625,56.8137,33.4332,61.0169,9.2831,server_034.txt
0.65667,9.28264,6.34211,11.8725,1.32745,1.57265,0.239005,7.92551,46.7913,7.85509,3.44275,6.29109,srv_40.txt
0.351056,3.88215,63.9321,12.3842,10.2213,8.61315,0.17027,3.04812,56.3901,10.4945,9.53058,9.7185,server_035.txt
0.424996,19.3707,25.8239,12.5118,4.0192,12.7516,2.2786,1.28579,50.0492,47.3602,10.3448,10.7113,srv_0.txt
0.517085,32.7783,45.6485,33.8201,7.71077,7.54761,0.383385,31.4291,34.9604,1.09803,0.281806,14.5132,srv_34.txt
0.41643,19.5435,26.2724,12.6436,4.11347,12.7637,2.323,1.37961,47.4008,56.5725,36.0465,10.8188,server_013.txt
0.252762,17.829,0.000145,24.0188,0.330685,0.330685,0.305225,17.8232,55.0234,0.144036,0.0065475,23.9601,602.gcc_s-1850B.txt
0.43839,17.5069,25.4658,12.3839,4.09023,11.8321,2.1273,1.5684,59.5903,51.5222,37.6812,10.5456,srv_7.txt
0.466648,14.61,25.1088,12.0624,3.96569,12.8919,1.6336,1.52651,52.9757,45.8824,38.1818,10.3646,srv_67.txt
0.63088,3.5216,8.98425,4.59836,2.19496,3.07028,0.16581,0.952305,31.6406,40.818,18.9542,2.7387,client_002.txt
0.467026,15.0913,25.5222,12.2078,4.01355,11.7468,1.57145,1.41219,48.71,64.6411,41.8605,10.5053,srv_65.txt
0.444585,10.6502,21.3977,11.1164,5.20544,5.2812,0.440025,2.3841,64.2098,37.2355,34.4828,7.49009,srv_49.txt
0.720445,2.43288,3.19185,2.42816,0.53352,9.0445,0.431405,1.25652,13.8792,10.0904,4.41035,1.82449,srv_31.txt
0.646674,2.2002,9.6805,4.46225,2.60026,3.25704,0.002685,0.002355,26.5591,40.4362,45.8333,3.12708,srv_58.txt
0.36144,13.1891,17.1107,61.8304,2.69738,44.9331,1.57429,0.966535,63.6513,75.5598,71.1111,45.5086,srv_11.txt
0.420957,19.4095,26.0549,12.5985,4.11016,12.7142,2.29101,1.32574,48.3416,45.1976,15.6028,10.771,srv_61.txt
0.449937,5.40156,21.4894,18.5495,4.99641,15.2355,0.157115,2.38003,42.7312,40.9704,37.0787,16.7823,client_008.txt
0.439808,11.9452,21.4025,11.9491,5.24485,5.17633,0.39303,3.0049,29.6662,3.71675,0.655225,7.79638,srv_48.txt
0.411022,20.6869,26.3265,13.386,4.12148,12.9051,2.53135,1.30045,52.2868,46.9586,18.3099,11.5694,srv_60.txt
0.425743,9.91269,25.6586,13.0378,6.7525,6.30185,0.287025,1.91068,63.9789,31.5239,21.8391,8.68411,srv_47.txt
0.465145,15.1091,25.4865,12.3363,3.97637,12.9492,1.5891,1.52056,46.4675,45.8868,16.9231,10.6199,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.443861,32.6357,42.3136,32.9928,7.0933,8.11015,0.97281,32.9069,35.0456,1.12345,0.268492,15.1052,server_017.txt
0.3105,4.69512,57.4395,28.2953,11.3581,10.2909,0.140645,0.022135,61.7413,8.89019,157.426,16.7102,srv_71.txt
0.403363,14.8775,25.5391,13.246,4.79754,5.02444,0.43244,2.32423,64.6488,24.3046,42.1769,9.07166,srv_50.txt
0.311132,5.35686,56.4714,27.235,11.1172,10.0166,0.13284,0.0077,61.0848,9.31076,20.9756,16.3106,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.445321,33.0916,42.5071,33.775,7.14782,7.98852,0.84734,34.0948,35.1604,1.21914,0.338403,15.1605,server_019.txt
