IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.304559,12.3179,53.459,31.8941,10.2656,9.22887,0.054345,0.18033,14.7467,4.34531,3.72075,15.7324,srv_26.txt
0.46334,16.8993,25.0763,15.0539,3.94903,12.877,1.72105,1.63722,33.8096,7.47649,2.65251,9.94398,srv_6.txt
0.522636,35.2299,45.295,37.8999,7.67502,7.56804,0.399925,32.1198,33.1193,3.04767,0.336922,13.0296,srv_36.txt
0.417071,15.2844,23.7205,14.8473,4.45493,5.23746,0.42188,2.27745,33.3311,7.53479,5.35002,7.88742,srv_51.txt
0.326747,9.85312,49.5148,26.585,9.49081,9.26933,0.04712,0.15045,33.6434,4.13723,11.3158,12.9907,srv_12.txt
0.337614,23.1669,32.1157,25.5975,6.31199,6.27937,0.481255,1.70325,16.1843,5.82853,7.40017,11.1949,srv_53.txt
0.424815,13.1507,24.952,18.7187,6.58416,6.18862,0.260965,2.55394,22.7592,8.43817,5.86266,8.73943,srv_46.txt
0.634991,1.04347,28.5116,0.998095,7.9515,3.38981,0.01783,0.679715,29.9221,3.64052,7.25203,0.37525,server_014.txt
0.498941,36.4913,45.2552,40.1261,7.65623,7.63977,0.392335,32.1898,20.8267,8.22477,1.18618,14.9647,srv_76.txt
0.534561,4.13795,16.1161,18.105,2.69114,5.92253,0.086805,2.61414,26.7208,11.8866,14.8371,11.9674,client_007.txt
0.566904,0.391115,71.6771,0.56365,9.23802,4.57496,0.007335,0.25415,9.76564,5.79127,5.52834,0.213755,server_036.txt
0.483973,36.5222,44.6065,39.8831,7.46267,7.84483,0.619385,32.6288,20.2186,7.3183,0.460033,15.1064,server_020.txt
0.718845,2.83214,3.16264,2.96306,0.529665,8.99285,0.435915,1.59292,15.8568,3.30187,2.54392,1.8326,srv_28.txt
0.247768,22.9862,65.7686,45.8836,13.7391,12.2866,0.54466,2.09386,19.6245,6.42116,6.30322,20.9955,srv_45.txt
0.301895,9.13856,55.8936,37.1017,11.0051,10.474,0.274195,0.874925,21.9403,2.2175,3.62257,21.8324,server_029.txt
0.398839,23.3552,24.3413,20.7667,3.8064,11.8748,2.15838,2.10919,11.5422,3.04073,5.82529,11.4987,server_011.txt
0.373375,6.2481,62.9063,28.266,10.1307,8.50592,0.085815,0.6102,16.8428,13.4173,14.7839,14.2684,server_033.txt
0.35584,8.96707,3.46254,101.009,0.70056,42.5513,0.49257,7.33986,0.810567,3.09082,1.67121,69.0039,srv_9.txt
0.296961,5.16425,61.0081,28.4087,12.1334,9.86391,0.00636,0.00825,24.4524,2.37325,123.859,15.7453,srv_16.txt
0.380997,2.57224,62.9755,26.6396,10.1618,7.93736,0.01346,0.034185,18.0107,14.1005,52.1813,13.6241,server_034.txt
0.675479,9.94662,6.34211,14.3828,1.32745,1.57267,0.24255,8.17933,58.2909,6.9812,1.03501,4.35595,srv_40.txt
0.352118,5.30377,63.9321,26.1962,10.2213,8.61511,0.1718,4.44083,18.8159,7.85967,1.85434,13.8524,server_035.txt
0.424524,21.4389,25.8239,15.3757,4.0192,12.7503,2.27605,1.49289,32.8596,6.25933,3.54963,10.0608,srv_0.txt
0.504163,37.0746,45.6485,41.2241,7.71077,7.54402,0.38323,32.6492,15.8708,8.11176,1.09278,15.2018,srv_34.txt
0.41605,21.6233,26.2724,15.5533,4.11348,12.7553,2.31973,1.50483,32.7755,5.55394,5.09734,10.1823,server_013.txt
0.252581,17.8772,0.000145,24.5849,0.3306,0.3306,0.30448,17.8564,73.5437,4.89842,1.11153,23.5134,602.gcc_s-1850B.txt
0.426904,23.2219,25.4658,20.9547,4.09023,11.8313,2.15748,2.04848,10.0041,2.80649,3.19083,11.4899,srv_7.txt
0.458594,18.5225,25.1088,17.7026,3.96569,12.8943,1.63866,1.75496,18.0229,4.64569,2.5713,10.6075,srv_67.txt
0.632148,4.44086,8.98424,7.04288,2.19496,3.07055,0.165715,1.02556,13.5107,4.13413,6.08365,3.0795,client_002.txt
0.46538,17.0192,25.5222,15.0144,4.01355,11.7434,1.57261,1.53519,33.4446,7.94525,4.16776,9.96492,srv_65.txt
0.437699,13.7899,21.3975,16.882,5.20544,5.28358,0.44129,3.22903,20.5902,8.21498,6.37785,7.80228,srv_49.txt
0.72102,2.7151,3.19185,2.80864,0.53352,9.0448,0.43272,1.46253,16.0163,3.43468,2.58961,1.75998,srv_31.txt
0.64398,2.69561,9.6805,5.96492,2.60026,3.2576,0.002615,0.002175,28.6697,9.29713,556.395,3.27257,srv_58.txt
0.337726,17.4331,17.1107,112.09,2.69738,44.9311,1.60655,1.41084,1.84081,6.16153,12.362,66.0006,srv_11.txt
0.420304,21.4678,26.0549,15.4948,4.11016,12.7116,2.28732,1.4705,32.4305,5.654,4.36898,10.1581,srv_61.txt
0.448433,7.72619,21.4894,32.0447,4.99641,15.2203,0.156905,2.61701,10.5199,6.93745,15.1624,20.5862,client_008.txt
0.440412,13.3535,21.4025,14.333,5.24485,5.1759,0.39273,3.35113,29.9601,7.65335,4.4364,7.39772,srv_48.txt
0.407912,24.2304,26.3265,18.2792,4.12148,12.9021,2.53741,1.53884,26.7121,6.16263,5.69392,10.9277,srv_60.txt
0.416823,14.3249,25.6586,20.9804,6.7525,6.30188,0.288685,2.72392,16.6792,6.78587,5.56418,9.36446,srv_47.txt
0.455274,19.8446,25.4865,19.2627,3.97637,12.9515,1.59438,1.81675,15.4815,4.16182,2.76679,11.0748,srv_4.txt
,,,,,,,,,,,,script_for_rename.sh
0.444024,34.8173,42.3136,36.6175,7.0933,8.11039,0.97799,33.9156,22.557,4.19858,0.454285,14.8971,server_017.txt
0.305842,6.48897,57.4395,34.1004,11.3581,10.2909,0.143155,0.04217,26.9968,3.23356,47.2287,19.6462,srv_71.txt
0.39996,18.3608,25.5391,17.6867,4.79754,5.02495,0.433465,2.84224,28.5994,6.91936,5.27796,8.72404,srv_50.txt
0.305672,7.65456,56.4714,32.9881,11.1172,10.0166,0.13887,0.01392,26.3899,4.37087,90.4983,19.0301,srv_14.txt
,,,,,,,,,,,,info_extractor.py
0.438538,36.9455,42.5071,40.2596,7.14782,7.98487,0.85638,27.7682,18.9241,6.95382,4.381,15.4846,server_019.txt
0.42102,20.3465,25.2938,15.0403,4.07732,12.3098,2.26784,1.69212,33.0379,5.77643,6.89956,9.85909,srv_69.txt
0.450523,19.0696,25.5228,17.7188,3.85073,11.9071,1.65961,1.69975,17.8951,4.63942,3.32371,10.6473,srv_3.txt
0.515116,10.5703,16.4163,10.697,2.99563,3.12506,0.392985,1.75405,30.3887,8.90769,6.28381,5.32122,srv_54.txt
0.305384,7.1359,56.7243,30.5739,11.1786,10.5612,0.320245,0.50644,26.3845,1.51933,2.87281,17.4237,srv_19.txt
0.301035,3.80446,60.6236,26.6599,12.0737,9.85396,0.005975,0.006395,27.9346,1.33249,328.15,15.4779,srv_72.txt
0.450111,20.6816,25.1923,20.3864,3.96881,12.8427,1.74242,1.91976,10.1982,2.94693,2.43361,11.4117,srv_66.txt
0.319879,9.27385,49.7613,26.3446,9.55165,8.84247,0.053,0.42215,22.3432,4.93099,12.9593,13.6211,server_025.txt
0.71688,3.38051,3.28732,3.61374,0.547285,9.0417,0.44192,1.99994,10.2433,2.92314,1.99811,1.96304,srv_29.txt
0.619592,6.36117,9.62862,7.73187,1.65075,2.19489,0.07216,3.754,34.442,7.41242,9.28804,2.67386,client_003.txt
0.389868,20.3111,22.4361,47.6883,3.56161,23.5477,2.06062,1.44951,6.61674,4.21503,6.74842,28.0659,server_009.txt
0.458565,18.2261,25.7573,16.6305,4.03885,13.0685,1.59863,1.61428,27.6039,7.68272,4.38753,10.1554,srv_5.txt
0.332286,10.1287,48.0783,24.812,9.13976,8.94901,0.0579,0.72348,32.2229,5.50492,6.02635,12.456,server_024.txt
0.608579,3.29635,11.2106,7.42494,3.00709,3.52664,0.003545,0.002735,26.7035,9.77975,420.213,3.91025,srv_59.txt
0.720168,2.80532,3.21889,2.90259,0.53748,9.03218,0.4331,1.54048,15.996,3.31239,1.82762,1.80717,srv_30.txt
0.300677,3.81531,60.6055,26.6116,12.071,9.80477,0.005895,0.02314,27.5048,1.53623,125.181,15.4427,server_032.txt
0.60075,3.8476,13.1988,8.28197,4.08771,4.49916,0.26456,0.580105,27.2705,6.48155,4.55502,4.72217,srv_56.txt
0.649851,0.00168,29.9477,0.349045,8.43077,3.7187,2.5,0.000515,11.1506,41.6667,6.77966,0.269615,server_015.txt
