IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.306159,12.6635,53.459,32.1229,10.2656,9.22884,0.05158,0.22716,22.8133,5.33316,15.6794,13.7482,srv_26.txt
0.454866,21.7614,25.0763,21.1713,3.94904,12.8769,1.72802,1.95531,21.1085,5.50319,3.89614,10.1902,srv_6.txt
0.510014,36.3419,45.295,41.9824,7.67502,7.56675,0.40057,32.9317,20.9269,5.69464,0.407141,14.9122,srv_36.txt
0.412616,17.963,23.7205,19.5603,4.45493,5.2383,0.4255,2.71551,24.752,8.07805,6.88344,8.00972,srv_51.txt
0.323461,13.3501,49.5149,31.7225,9.49081,9.26962,0.049675,0.295465,21.6961,5.94872,11.4083,14.1111,srv_12.txt
0.343699,20.2745,32.1162,23.3851,6.31199,6.27989,0.466115,1.45337,24.1773,8.31057,9.48396,9.84629,srv_53.txt
0.426297,13.574,24.952,20.0358,6.58141,6.18567,0.262965,2.72409,23.9447,7.5079,5.32672,8.34686,srv_46.txt
0.635171,1.08108,28.5116,1.56293,7.95149,3.38981,0.017825,0.74128,13.6379,4.7154,6.97556,0.62557,server_014.txt
0.502764,36.781,45.2552,42.9988,7.65623,7.64058,0.392545,31.7464,19.4885,5.73609,1.06862,14.9661,srv_76.txt
0.53722,4.59897,16.1161,26.7944,2.69114,5.92475,0.08691,2.80101,20.5761,10.2196,13.0271,13.0751,client_007.txt
0.566642,0.40803,71.6771,1.7394,9.23802,4.57498,0.007345,0.267275,11.2742,18.328,11.9728,0.67223,server_036.txt
0.491416,36.5565,44.6065,41.9483,7.46267,7.84585,0.6201,33.109,19.9048,5.72084,0.359438,15.1421,server_020.txt
0.721255,3.42472,3.16264,3.85896,0.529665,8.99278,0.43887,2.20967,14.5198,2.65217,2.0742,1.83999,srv_28.txt
0.247325,24.3681,65.7686,51.2235,13.7391,12.291,0.545485,2.21956,21.1144,7.21878,8.90001,19.5638,srv_45.txt
0.301356,10.5228,55.8936,40.9864,11.0051,10.474,0.274865,0.93873,22.2026,3.70711,4.54861,20.3507,server_029.txt
0.400326,24.3135,24.3413,21.4004,3.8064,11.8725,2.1429,2.45258,21.5871,5.35141,6.44381,10.3093,server_011.txt
0.373509,6.61717,62.9063,30.4022,10.1307,8.50573,0.08533,0.78099,20.5428,7.98426,19.0811,13.2043,server_033.txt
0.368611,9.35941,3.46254,104.134,0.70056,42.5569,0.492655,7.54153,6.28768,2.80998,3.59664,66.3645,srv_9.txt
0.294283,7.00855,61.0081,35.3821,12.1334,9.86405,0.006525,0.009975,23.2715,1.20964,166.802,15.994,srv_16.txt
0.381415,3.14752,62.9755,28.3815,10.1618,7.93764,0.013405,0.05593,21.8725,8.264,61.195,12.7034,server_034.txt
0.66278,10.1671,6.34211,15.2436,1.32746,1.57265,0.239205,8.21151,30.5711,5.8418,2.72568,5.81523,srv_40.txt
0.353997,5.75621,63.9321,30.1731,10.2213,8.61417,0.17214,4.23421,20.7483,8.56731,2.78738,13.3244,server_035.txt
0.416654,25.4671,25.8239,21.0334,4.0192,12.7512,2.28083,2.01088,19.8214,4.97839,3.53499,10.513,srv_0.txt
0.509886,36.9767,45.6485,44.2455,7.71077,7.54495,0.383555,33.3714,17.132,6.29257,0.437241,15.0509,srv_34.txt
0.408521,26.3438,26.2724,21.7789,4.11348,12.7549,2.33662,2.13236,21.296,4.8406,5.10387,10.4032,server_013.txt
0.311403,17.9164,0.000145,25.7627,0.330615,0.330615,0.304325,17.9028,56.0352,0.637257,0.00722867,16.1831,602.gcc_s-1850B.txt
0.431501,23.606,25.4658,20.8866,4.09023,11.8281,2.12615,2.05779,22.777,5.70073,4.42527,10.0436,srv_7.txt
0.456463,21.5036,25.1088,20.9167,3.96569,12.8943,1.64202,1.98917,21.6719,5.56808,3.89318,9.99588,srv_67.txt
0.637317,4.27817,8.98424,6.78198,2.19496,3.07058,0.156885,1.00506,31.602,7.90419,5.84154,2.49721,client_002.txt
0.458292,21.2518,25.5222,20.7365,4.01355,11.744,1.58153,1.77463,21.9593,6.13121,4.13101,10.1815,srv_65.txt
0.440288,14.0889,21.3975,17.6356,5.2034,5.282,0.44354,3.36059,23.6329,7.96853,6.05347,7.21375,srv_49.txt
0.723551,3.32876,3.19185,3.75062,0.53352,9.04472,0.435775,2.07053,16.1096,2.59561,2.1258,1.72724,srv_31.txt
0.640801,3.42547,9.6805,8.21794,2.60026,3.25746,0.00263,0.00356,21.9959,9.77586,189.462,3.72358,srv_58.txt
0.341396,16.9866,17.1107,97.222,2.69739,44.9314,1.57905,1.49335,6.14695,4.89813,5.52081,60.1402,srv_11.txt
0.411413,26.2454,26.0549,21.7738,4.11016,12.7125,2.29735,2.25914,20.0868,4.81307,4.95767,10.5254,srv_61.txt
