IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.312266,6.84016,53.459,19.8139,10.2656,9.22884,0.04911,0.04514,0.158303,934.659,32.3944,14.1739,srv_26.txt
0.460798,16.8096,25.0763,14.8742,3.94903,12.8788,1.72638,1.6367,19.1426,5.54272,1.6236,10.623,srv_6.txt
0.511024,34.8853,45.295,37.2467,7.67502,7.56952,0.399805,32.0829,23.3569,4.3265,0.347236,14.3451,srv_36.txt
0.417008,15.219,23.7205,14.751,4.45493,5.23751,0.421895,2.28277,33.1617,7.58302,5.35537,7.91726,srv_51.txt
0.32787,9.2238,49.5148,25.0957,9.4908,9.26942,0.046975,0.120765,23.2947,5.48844,4.2146,13.9511,srv_12.txt
0.342405,20.6495,32.1157,21.5159,6.31199,6.28,0.498475,1.42386,15.1317,5.37182,8.51466,10.685,srv_53.txt
0.425205,14.122,24.9519,18.9802,6.58415,6.18537,0.28393,2.79823,17.5889,4.68316,2.34946,8.79231,srv_46.txt
0.635158,1.03929,28.5116,0.983975,7.9515,3.38984,0.01789,0.70453,27.8238,4.02275,7.68414,0.390335,server_014.txt
0.499627,35.6812,45.2552,38.2193,7.65623,7.64034,0.39242,32.54,17.0031,8.87173,0.718947,15.2221,srv_76.txt
0.535042,4.0867,16.1161,17.1662,2.69114,5.92304,0.086815,2.58412,30.0448,12.3356,14.9057,11.6016,client_007.txt
0.566871,0.379325,71.6771,0.41329,9.23802,4.57495,0.007345,0.243995,22.6092,11.1757,5.86784,0.16158,server_036.txt
0.510127,36.0593,44.6065,38.8019,7.46267,7.84933,0.62526,32.6134,28.5174,2.99616,0.200365,12.998,server_020.txt
0.717686,2.90896,3.16264,3.02359,0.529665,8.99276,0.437395,1.68678,11.8759,3.68678,1.98252,1.88413,srv_28.txt
0.251943,16.987,65.7686,34.8884,13.7391,12.2884,0.54282,1.608,27.3422,6.45533,5.61083,19.6554,srv_45.txt
0.303554,7.84003,55.8936,33.776,11.0051,10.4742,0.27409,0.794965,27.4694,3.64684,2.3076,19.7972,server_029.txt
0.407435,20.0336,24.3413,15.3317,3.8064,11.8724,2.129,1.80913,33.5056,6.47588,6.45377,10.071,server_011.txt
0.376385,5.25763,62.9063,18.9214,10.1307,8.50565,0.08288,0.50863,28.5317,6.94815,9.49612,11.6674,server_033.txt
0.35736,7.79256,3.46254,67.2583,0.70056,42.5563,0.49048,6.36306,20.6605,7.85616,2.26071,65.8135,srv_9.txt
0.297303,4.85922,61.0081,26.5518,12.1334,9.86389,0.00636,0.013205,28.1635,1.66484,0.837851,15.6029,srv_16.txt
0.38217,2.14449,62.9755,21.6212,10.1618,7.93747,0.013475,0.04404,18.9087,12.0089,9.68441,12.5888,server_034.txt
0.675214,9.89506,6.34211,14.4428,1.32745,1.57259,0.243035,8.16114,57.1749,8.5161,1.1736,4.49718,srv_40.txt
