IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.314616,7.84068,53.459,22.0771,10.2656,9.22744,0.057245,0.085625,53.1548,17.0164,31.0949,10.903,srv_26.txt
0.464904,15.4325,25.0763,12.6487,3.94903,12.8825,1.73823,1.55502,48.4885,31.3599,17.4884,10.0222,srv_6.txt
0.506218,33.3642,45.295,34.6703,7.67502,7.56782,0.401675,31.7032,29.3884,6.55711,0.4713,14.8691,srv_36.txt
0.417814,13.8921,23.7205,12.7848,4.45493,5.23898,0.441175,2.08567,43.0505,20.4464,10.7301,8.03756,srv_51.txt
0.332234,8.1459,49.5148,22.0246,9.4908,9.26954,0.062175,0.124525,48.4224,23.6132,28.9038,11.8549,srv_12.txt
0.350888,15.9116,32.1157,15.2944,6.31199,6.28006,0.47714,0.881025,46.7584,22.1426,13.0089,9.29317,srv_53.txt
0.429854,11.0884,24.9519,13.8789,6.58416,6.18856,0.287395,2.2977,43.8515,24.4906,8.25116,8.04857,srv_46.txt
0.634872,1.01131,28.5116,0.92968,7.95149,3.38985,0.017495,0.654815,23.4598,14.209,9.77444,0.417825,server_014.txt
0.502381,33.5234,45.2552,34.7266,7.65623,7.64122,0.393775,31.769,29.9666,6.16617,0.667764,14.8852,srv_76.txt
0.528694,3.79959,16.1161,13.4897,2.69113,5.92619,0.092315,2.46539,36.984,27.7212,21.8549,10.7567,client_007.txt
0.567,0.36681,71.6771,0.385625,9.23802,4.57512,0.00733,0.2274,45.6027,33.3744,20.5183,0.152415,server_036.txt
0.485777,33.2882,44.6065,34.1234,7.46267,7.84671,0.61779,31.5617,31.0842,5.87503,0.447704,14.9698,server_020.txt
0.71831,2.6092,3.16264,3.13224,0.529665,8.99208,0.43519,1.42054,5.62185,11.0137,4.80252,1.95305,srv_28.txt
0.255,15.327,65.7686,30.7778,13.7391,12.2936,0.551885,1.49031,52.3686,18.9555,11.5044,16.5781,srv_45.txt
0.308668,6.80539,55.8936,30.342,11.0051,10.4741,0.28249,0.633675,49.7635,15.1468,4.17722,17.0653,server_029.txt
0.407495,18.6814,24.3413,13.0033,3.8064,11.8753,2.16117,1.71062,45.8357,32.5335,29.6009,10.3578,server_011.txt
0.378793,4.65128,62.9063,14.9731,10.1307,8.50568,0.089105,0.3927,44.1694,14.8668,43.2097,9.74525,server_033.txt
0.375201,7.85937,3.46254,67.0507,0.70056,42.7488,0.49381,6.63617,35.9746,13.5202,5.4555,53.8483,srv_9.txt
0.302577,4.19827,61.008,24.4214,12.1334,9.86429,0.009775,0.007645,58.912,7.28871,188.845,10.7364,srv_16.txt
0.386472,1.58954,62.9755,14.5359,10.1618,7.93743,0.013765,0.030605,43.8617,21.7641,45.275,9.43652,server_034.txt
0.658031,9.37327,6.34211,12.2902,1.32745,1.57292,0.241745,7.95153,39.9898,4.5588,1.89954,5.9928,srv_40.txt
0.352414,4.11954,63.9321,15.443,10.2213,8.61362,0.193565,3.19058,42.2897,20.1209,6.25696,10.0589,server_035.txt
0.425063,19.9209,25.8239,12.9684,4.0192,12.7854,2.3032,1.30666,47.7979,33.3943,22.5972,10.2982,srv_0.txt
0.506996,33.1956,45.6485,34.4849,7.71077,7.5465,0.38609,31.6548,29.8345,6.67867,0.467536,14.8004,srv_34.txt
0.416578,20.0929,26.2724,13.1717,4.11348,12.7593,2.35944,1.42852,46.562,25.1496,22.6729,10.3948,server_013.txt
0.260318,17.8297,0.000145,24.0223,0.330645,0.330645,0.30486,17.8242,8.76201,0.156844,0.00393632,23.8651,602.gcc_s-1850B.txt
0.43879,18.0644,25.4658,12.8653,4.09023,11.8303,2.14711,1.61556,47.4002,30.4192,19.0169,10.1036,srv_7.txt
0.466689,15.1878,25.1088,12.5338,3.96569,12.9292,1.65596,1.56264,48.2981,31.9445,19.0214,9.91016,srv_67.txt
0.630568,3.69746,8.98425,5.00449,2.19496,3.07071,0.179645,0.960915,26.1165,15.5079,15.5605,2.72389,client_002.txt
0.46731,15.6333,25.5222,12.6713,4.01355,11.7453,1.58734,1.45372,49.182,34.1169,21.2062,10.0165,srv_65.txt
0.443836,11.2944,21.3978,11.7635,5.20544,5.28281,0.476985,2.59738,41.1375,25.3214,11.1369,7.19212,srv_49.txt
0.720925,2.48918,3.19185,3.08164,0.53352,9.04357,0.43222,1.29554,5.41181,11.4015,5.33032,1.93897,srv_31.txt
0.645125,2.51959,9.6805,5.09269,2.60026,3.25693,0.00264,0.007325,28.5021,24.1226,30.3688,3.18979,srv_58.txt
0.3611,13.5289,17.1107,62.267,2.69739,44.9334,1.59804,1.00632,39.6003,26.8733,19.1107,47.9565,srv_11.txt
0.421121,19.9195,26.0549,13.089,4.11016,12.7163,2.32425,1.37448,47.1659,26.3786,19.0062,10.3494,srv_61.txt
0.450091,5.65602,21.4894,19.9616,4.99641,15.2349,0.17099,2.42845,32.9063,14.5649,18.9489,16.8185,client_008.txt
0.438968,12.5737,21.4025,12.5107,5.24485,5.17812,0.420785,3.19058,41.9231,25.7071,11.7216,7.52444,srv_48.txt
0.411119,21.2189,26.3265,13.835,4.12148,12.9337,2.56182,1.34374,48.1347,32.8004,16.6619,11.1412,srv_60.txt
0.424706,10.836,25.6586,14.0282,6.7525,6.30531,0.31621,2.10123,43.3779,23.8155,11.0909,8.17104,srv_47.txt
