IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.314461,7.95554,53.459,22.2809,10.2656,9.22746,0.056575,0.094165,51.0499,16.7958,30.2853,10.8455,srv_26.txt
0.464534,15.5777,25.0763,12.7538,3.94903,12.8795,1.74979,1.56208,47.1766,29.7209,20.1811,9.99466,srv_6.txt
0.516044,33.6434,45.295,35.0438,7.67502,7.56768,0.40165,31.8374,26.4927,4.59991,0.369221,14.3952,srv_36.txt
0.417569,13.9936,23.7205,12.8585,4.45493,5.23902,0.442155,2.11062,41.8649,18.0273,9.36959,8.03091,srv_51.txt
0.332113,8.24458,49.5148,22.1454,9.49081,9.26949,0.064795,0.128525,45.7439,20.6301,27.4922,11.6558,srv_12.txt
0.350672,16.0727,32.1157,15.4193,6.31199,6.28042,0.47682,0.90313,45.4389,22.204,13.0128,9.28748,srv_53.txt
0.430136,11.1252,24.9519,13.9553,6.58416,6.18854,0.291605,2.29574,43.5219,21.3442,6.23548,7.98896,srv_46.txt
0.635006,1.0168,28.5116,0.93727,7.95149,3.38987,0.017425,0.672075,24.8559,9.25553,8.88065,0.410935,server_014.txt
0.512082,33.7901,45.2552,35.0714,7.65623,7.64156,0.39392,31.8671,26.6079,4.35993,0.557631,14.4097,srv_76.txt
0.529329,3.85218,16.1161,13.7441,2.69113,5.92584,0.094245,2.49445,35.6382,23.4832,17.5449,10.7838,client_007.txt
0.567087,0.36989,71.6771,0.427215,9.23802,4.57512,0.007335,0.230995,36.2794,23.5384,14.7496,0.15771,server_036.txt
0.494636,33.5559,44.6065,34.4533,7.46267,7.84717,0.618625,31.7037,27.4347,4.02443,0.373489,14.504,server_020.txt
0.71831,2.63573,3.16264,2.97582,0.529665,8.9918,0.43647,1.43947,6.84048,9.96702,6.15367,1.91694,srv_28.txt
0.255042,15.5194,65.7686,31.0937,13.7391,12.2932,0.549415,1.5163,51.0449,16.8057,8.70355,16.4904,srv_45.txt
0.308608,6.82773,55.8936,30.6508,11.0051,10.4741,0.28177,0.641655,46.3235,12.3461,4.21219,16.2789,server_029.txt
0.40725,18.7697,24.3413,13.0615,3.8064,11.875,2.16613,1.72487,44.6793,31.8488,30.3552,10.354,server_011.txt
