IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.301354,14.5191,53.459,38.5211,10.2656,9.22815,0.05054,0.193395,12.8439,3.18559,2.87606,15.1516,srv_26.txt
0.450931,22.8499,25.0763,24.2743,3.94904,12.8766,1.77798,1.89273,12.068,6.65541,7.66695,10.9537,srv_6.txt
0.510778,36.1714,45.295,41.6688,7.67502,7.56859,0.40041,32.3274,21.0493,4.70729,0.417453,14.804,srv_36.txt
0.399615,21.3039,23.7205,23.3597,4.45493,5.23692,0.48298,3.05146,9.74745,7.81766,7.07419,9.81005,srv_51.txt
0.325406,10.682,49.5149,30.4521,9.49081,9.26922,0.050185,0.126305,23.1709,6.00933,5.59641,14.385,srv_12.txt
0.345786,19.8896,32.1157,22.8414,6.31199,6.27985,0.457205,1.18426,25.861,7.44637,4.9535,9.49161,srv_53.txt
0.415587,16.4286,24.9519,24.1898,6.58141,6.18655,0.290315,3.05285,6.57818,6.69434,4.17107,10.2084,srv_46.txt
0.635005,1.0693,28.5116,1.04301,7.95149,3.38985,0.017455,0.74613,20.8507,5.52431,3.73744,0.412065,server_014.txt
0.498589,36.3063,45.2552,41.1981,7.65623,7.63609,0.392415,31.7674,20.3891,7.88762,0.99547,15.3333,srv_76.txt
0.544509,4.45732,16.1161,26.1928,2.69114,5.92254,0.086825,2.73465,29.3221,9.78028,9.75667,11.6812,client_007.txt
0.566405,0.396435,71.6771,1.54913,9.23802,4.57496,0.00736,0.25948,17.6099,8.06012,13.0484,0.839685,server_036.txt
0.49166,36.3011,44.6065,41.5233,7.46267,7.84781,0.61962,32.5566,20.4746,4.93419,0.391605,14.9597,server_020.txt
0.72005,3.3889,3.16264,3.77182,0.529665,8.99285,0.438675,2.15913,14.3701,2.27152,1.50847,1.83908,srv_28.txt
0.249917,21.1516,65.7686,45.6241,13.7391,12.292,0.543615,1.87548,23.7177,5.49696,1.7943,19.0761,srv_45.txt
0.304537,6.13241,55.8936,28.4752,11.0051,10.4741,0.27065,0.60365,0.0108029,9.60699,100,22.1868,server_029.txt
0.40625,23.0209,24.3413,20.6848,3.8064,11.8703,2.13769,1.95057,29.2034,5.48054,5.82962,9.31684,server_011.txt
0.374717,6.09173,62.9063,28.6794,10.1307,8.50565,0.08294,0.60946,23.6995,7.18441,8.47468,12.6645,server_033.txt
0.37341,9.82911,3.46254,131.774,0.70056,42.547,0.50926,7.79723,6.17652,2.3114,2.02294,69.0723,srv_9.txt
0.292402,8.3982,61.0081,39.5095,12.1334,9.86392,0.00643,0.00592,17.1112,0.821923,38.471,16.1924,srv_16.txt
0.381546,2.40252,62.9755,27.2116,10.1618,7.93729,0.01337,0.03583,21.7825,8.11847,43.9367,12.9103,server_034.txt
0.653359,10.383,6.34211,17.7665,1.32745,1.57294,0.244485,8.30049,14.0538,6.51722,4.4699,7.45977,srv_40.txt
0.355526,5.64135,63.9321,31.1588,10.2213,8.6157,0.17186,4.31843,20.3249,11.2929,1.55912,13.2119,server_035.txt
0.417011,24.5687,25.8239,20.5153,4.0192,12.7533,2.27903,1.67114,16.115,4.41573,2.0749,10.9956,srv_0.txt
0.503545,37.371,45.6485,44.088,7.71077,7.54241,0.390485,32.7327,12.5871,10.2291,1.13088,16.1301,srv_34.txt
0.404199,26.6053,26.2725,23.5646,4.11348,12.7555,2.36844,1.7827,9.49968,2.57818,6.94022,11.8982,server_013.txt
0.252401,17.83,0.000145,23.9954,0.33067,0.33067,0.305315,17.8235,99.8149,0.564972,0,23.9523,602.gcc_s-1850B.txt
0.430168,22.6248,25.4658,20.492,4.09023,11.8289,2.12667,1.90125,16.66,4.37119,1.28084,10.8478,srv_7.txt
0.46243,19.7805,25.1088,20.2312,3.96569,12.8953,1.63511,1.78479,28.5564,6.24453,3.41734,9.13494,srv_67.txt
0.634671,4.1171,8.98424,6.49501,2.19496,3.07037,0.15592,0.977445,28.8834,5.61049,4.93886,2.73255,client_002.txt
,,,,,,,,,,,,srv_65.txt
0.432019,16.0963,21.3978,20.2264,5.2034,5.28148,0.514735,3.61855,12.2978,6.46847,3.84108,8.16077,srv_49.txt
0.722016,3.27158,3.19185,3.59753,0.53352,9.04476,0.4357,2.02506,14.2787,2.29879,1.43862,1.76122,srv_31.txt
0.638544,3.57072,9.6805,9.37646,2.60026,3.2575,0.002655,0.002475,25.8564,8.98789,557.706,3.91262,srv_58.txt
