IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.576249,7.17653,5.97973,12.7657,1.19741,5.69163,0.07945,3.04025,client_001.txt
0.644377,4.06032,8.98425,5.62135,2.19496,3.0705,0.16354,1.08833,client_002.txt
0.626817,6.69169,9.62862,7.86227,1.65075,2.1949,0.072115,3.8103,client_003.txt
0.564086,10.056,12.2391,15.4451,2.47523,6.23376,0.45447,5.70709,client_006.txt
0.55431,4.83381,16.1161,15.5143,2.69114,5.92965,0.086735,2.89096,client_007.txt
0.467335,8.07479,21.4894,25.7428,4.99641,15.2568,0.1556,2.91432,client_008.txt
0.633262,9.10032,9.71386,8.67481,2.0866,5.87445,0.588175,4.77216,server_001.txt
0.666919,0.390155,14.7161,0.36608,4.94399,4.59448,0.00695,0.26025,server_002.txt
0.374691,17.2797,19.2066,16.5881,3.12486,9.32315,1.64674,3.39174,server_003.txt
0.361802,16.2514,19.8355,42.9741,3.28187,30.3067,2.0263,1.96226,server_004.txt
0.404499,18.0993,22.4361,31.3655,3.56161,23.5434,2.04982,1.3369,server_009.txt
0.417156,19.0882,23.6858,25.0419,3.7471,19.3372,2.21284,1.28171,server_010.txt
0.416691,19.369,24.3413,14.8743,3.8064,11.8707,2.12904,1.76112,server_011.txt
0.440416,19.8716,25.2905,14.8927,4.0271,12.5084,2.27867,1.31961,server_012.txt
0.426433,20.947,26.2724,15.0441,4.11348,12.7539,2.32079,1.50067,server_013.txt
0.637368,1.02083,28.5116,0.94773,7.9515,3.38992,0.01751,0.65419,server_014.txt
0.649926,0.001615,29.9477,0.00306,8.43077,3.7187,2.5,0.000485,server_015.txt
0.38542,6.1327,36.8761,16.6827,7.05104,6.85419,0.03885,0.564295,server_016.txt
0.485144,34.08,42.3136,35.6993,7.0933,8.10604,0.970325,33.9663,server_017.txt
0.494288,34.068,42.2897,36.0355,7.08015,8.03217,0.735675,28.9482,server_018.txt
0.487975,34.4861,42.5071,37.0969,7.14782,7.98475,0.845725,34.1173,server_019.txt
0.530425,33.8296,44.6065,36.382,7.46267,7.84579,0.61244,31.8552,server_020.txt
0.548039,33.4288,45.4011,36.6481,7.6713,7.49145,0.374285,30.7767,server_021.txt
0.547398,33.7447,45.646,37.1799,7.71359,7.61808,0.36502,30.8818,server_022.txt
0.34177,8.28333,47.3418,21.9123,9.04199,8.88252,0.054425,0.757585,server_023.txt
0.338534,9.01473,48.0783,21.6392,9.13976,8.94855,0.057025,0.73189,server_024.txt
0.327729,6.99397,49.7613,21.0091,9.55164,8.84315,0.044225,0.40471,server_025.txt
0.316956,8.04386,52.6387,23.2213,10.0561,9.18412,0.039665,0.348135,server_026.txt
0.31727,7.06422,52.8824,22.688,10.1247,9.13135,0.040895,0.4531,server_027.txt
0.31407,6.33602,55.4185,31.0055,10.946,10.4109,0.38705,0.803615,server_028.txt
0.30915,7.27285,55.8936,31.4894,11.0051,10.4744,0.272395,0.869805,server_029.txt
0.31021,6.58322,56.6031,30.6678,11.1386,10.1356,0.145035,0.122055,server_030.txt
0.307109,6.29279,57.5072,27.4206,11.3207,10.7229,0.27646,0.901445,server_031.txt
0.305083,3.84243,60.6055,23.5579,12.071,9.8056,0.00587,0.021855,server_032.txt
0.386048,4.54037,62.9063,14.3879,10.1307,8.507,0.08239,0.406255,server_033.txt
0.390019,1.48283,62.9755,13.9539,10.1618,7.93906,0.013485,0.027275,server_034.txt
