IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.331896,0.53472,53.4798,53.4798,10.2703,9.23656,0.05152,0.00056,srv_26.txt
0.541928,2.95412,25.1147,25.1147,3.95664,12.8893,1.74544,0.1088,srv_6.txt
0.6646,0.01096,44.9875,44.9875,7.66,7.58928,0.40472,0.00912,srv_36.txt
0.508643,0.9712,22.6377,22.6377,4.24072,4.81024,0.39404,0.0324,srv_51.txt
0.35239,0.573,49.5739,49.5739,9.50692,9.27516,0.04772,0.00052,srv_12.txt
0.394373,1.36384,32.4487,32.4487,6.38224,6.35632,0.46828,0.01008,srv_53.txt
0.490613,0.72768,24.229,24.229,6.43888,6.02716,0.2604,0.02268,srv_46.txt
0.649961,0.00844,29.8998,29.8998,8.40088,3.2632,0.01004,0.00564,server_014.txt
0.661904,0.00992,45.498,45.498,7.68368,7.646,0.38676,0.0096,srv_76.txt
0.56032,0.23992,68.7421,68.7421,8.88,4.49372,0.06432,0.22792,server_036.txt
0.647909,0.03192,44.7856,44.7856,7.46032,7.83716,0.60428,0.03076,server_020.txt
0.802615,0.00564,3.46576,3.46576,0.56972,9.00076,0.4394,0.00532,srv_28.txt
0.282484,0.10492,65.5604,65.5604,13.6904,12.2632,0.54044,0.02236,srv_45.txt
0.328835,0.43688,55.9026,55.9026,11.0111,10.4797,0.26204,0.02284,server_029.txt
0.459239,6.63288,25.476,25.476,3.97068,12.3163,2.38996,0.3216,server_011.txt
0.393774,0.34252,63.436,63.436,10.2118,8.49032,0.07872,0.00188,server_033.txt
0.498031,0.93888,4.03196,4.03196,0.78196,48.6223,0.44768,0.03124,srv_9.txt
0.31362,0.2636,61.0877,61.0877,12.1465,9.87848,0.00672,0.22312,srv_16.txt
0.391852,0.07332,63.4438,63.4438,10.237,8.00864,0.01496,0.00296,server_034.txt
0.789774,0.35456,6.79156,6.79156,1.3796,1.65964,0.2548,0.01652,srv_40.txt
0.393044,0.00764,64.3048,64.3048,10.2766,8.67,0.15132,0.00692,server_035.txt
0.489184,6.27564,25.7708,25.7708,4.01168,12.7404,2.27792,0.01856,srv_0.txt
0.662798,0.00824,45.5942,45.5942,7.7038,7.55424,0.3846,0.00744,srv_34.txt
0.479076,6.3356,26.4245,26.4245,4.10312,12.96,2.3338,0.02304,server_013.txt
0.514281,4.80412,25.4438,25.4438,4.07744,11.8514,2.12208,0.03344,srv_7.txt
0.545048,3.44924,25.0935,25.0935,3.96968,12.9024,1.61448,0.02628,srv_67.txt
0.546225,3.1524,25.5358,25.5358,4.02436,11.7378,1.56856,0.01876,srv_65.txt
0.508401,1.5056,21.4855,21.4855,5.28056,5.3378,0.43208,0.03712,srv_49.txt
0.805513,0.0018,3.13844,3.13844,0.52556,9.03252,0.42304,0.00168,srv_31.txt
0.620978,0.1272,11.7206,11.7206,3.08052,3.59948,0.00144,0.29472,srv_58.txt
0.422029,3.48,14.6898,14.6898,2.316,56.0978,1.32772,0.0212,srv_11.txt
0.621897,0.04336,6.2234,6.2234,1.22428,5.48948,0.08908,0.0374,client001.txt
0.487759,5.9558,26.1393,26.1393,4.1,12.7069,2.24812,0.01196,srv_61.txt
0.487074,1.48844,23.5395,23.5395,5.781,5.64236,0.42184,0.02456,srv_48.txt
0.696523,0.15168,7.6478,7.6478,1.24308,2.00256,0.02916,0.0454,client003.txt
0.478548,6.43096,26.3682,26.3682,4.11816,12.9267,2.51832,0.01408,srv_60.txt
0.482436,0.47332,25.2907,25.2907,6.66956,6.21812,0.29048,0.02004,srv_47.txt
0.545365,2.84916,25.5776,25.5776,3.996,12.9716,1.63672,0.01656,srv_4.txt
,,,,,,,,script_for_rename.sh
0.650715,0.0318,44.3951,44.3951,7.456,8.05268,0.72392,0.02332,server_017.txt
0.324505,0.13188,57.5083,57.5083,11.3772,10.308,0.13324,0.0054,srv_71.txt
0.474361,1.46256,26.0823,26.0823,4.90168,5.11676,0.45212,0.05124,srv_50.txt
0.326216,0.39488,56.418,56.418,11.1062,9.9978,0.14216,0.00056,srv_14.txt
,,,,,,,,info_extractor.py
0.655347,0.0344,45.3634,45.3634,7.68504,7.588,0.39968,0.03144,server_019.txt
0.487026,5.741,25.4162,25.4162,4.12352,12.161,2.24636,0.0196,srv_69.txt
0.533224,3.44356,25.6211,25.6211,3.86356,11.9211,1.69632,0.02528,srv_3.txt
0.592529,1.00424,15.2576,15.2576,2.79392,2.89624,0.35788,0.01424,srv_54.txt
0.328362,0.4126,56.7195,56.7195,11.1804,10.567,0.31008,0.0078,srv_19.txt
0.314985,0.35148,60.618,60.618,12.0733,9.85452,0.0058,0.21996,srv_72.txt
0.542412,3.41384,25.0703,25.0703,3.94516,12.863,1.72008,0.02268,srv_66.txt
0.332016,0.69388,53.2224,53.2224,10.2045,9.12164,0.0496,0.01316,server_025.txt
