IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,L1D Accuracy,L2C Accuracy,LLC Accuracy,L1D_LOAD_ACCESS_MPKI,File
0.310617,8.2295,53.459,21.4639,10.2656,9.2288,0.06334,0.18456,25.1777,19.2711,13.1977,14.1718,srv_26.txt
0.463545,15.3196,25.0763,12.4616,3.94903,12.8781,1.79981,1.53939,26.9614,35.5557,58.1274,10.4996,srv_6.txt
0.505466,34.5586,45.295,35.6672,7.67502,7.56741,0.4192,32.5354,13.3135,8.59949,0.510936,15.2038,srv_36.txt
0.417049,13.7824,23.7205,12.3533,4.45493,5.23745,0.428205,2.02879,33.6058,32.312,13.4242,8.3666,srv_51.txt
0.329432,7.94769,49.5148,20.9552,9.4908,9.26936,0.05671,0.116635,23.4898,19.0521,51.3246,14.4774,srv_12.txt
0.350183,15.5653,32.1157,14.6627,6.31199,6.2792,0.48001,0.82159,20.8716,30.8008,4.87839,10.1056,srv_53.txt
0.429111,10.5407,24.9519,13.2668,6.58416,6.18584,0.26345,2.10456,21.1833,30.0309,11.9766,8.56923,srv_46.txt
0.63444,1.02504,28.5116,0.94141,7.9515,3.38979,0.017495,0.68482,24.9351,6.0466,7.80422,0.4066,server_014.txt
0.497392,36.5716,45.2552,38.0818,7.65623,7.63953,0.43939,32.7605,16.1161,5.80427,1.66938,15.1076,srv_76.txt
0.527906,3.72491,16.1161,13.187,2.69114,5.92627,0.087355,2.42758,31.4352,20.0858,10.2326,11.0855,client_007.txt
0.566979,0.37122,71.6771,0.40401,9.23802,4.57496,0.00731,0.23188,13.9821,9.70588,10.3409,0.15923,server_036.txt
0.487529,33.8332,44.6065,34.613,7.46267,7.84734,0.65105,31.9486,17.6311,7.09419,0.473158,15.2147,server_020.txt
0.717665,2.61394,3.16264,2.63395,0.529665,8.99272,0.436305,1.41944,55.8727,7.00742,4.58548,1.73764,srv_28.txt
