IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.312041,6.77975,53.459,19.7649,10.2656,9.22884,0.04911,0.203215,srv_26.txt
0.466123,14.8678,25.0763,12.1736,3.94903,12.8769,1.72157,1.9655,srv_6.txt
0.517474,33.1189,45.295,33.9485,7.67502,7.57131,0.399905,35.6049,srv_36.txt
0.417532,13.2713,23.7205,12.0976,4.45493,5.23747,0.42228,2.57284,srv_51.txt
0.329948,7.19546,49.5148,20.0443,9.4908,9.26929,0.046485,0.27825,srv_12.txt
0.349634,14.8043,32.1157,14.27,6.31199,6.27894,0.461195,1.23535,srv_53.txt
0.431223,10.3341,24.9518,12.9927,6.58416,6.18617,0.260645,2.76839,srv_46.txt
0.634622,0.99713,28.5116,0.90805,7.9515,3.38982,0.01757,0.68141,server_014.txt
0.513076,33.2105,45.2552,33.9935,7.65623,7.64471,0.391595,32.7961,srv_76.txt
0.536399,3.70884,16.1161,13.0025,2.69114,5.92636,0.086775,2.94068,client_007.txt
0.567091,0.360825,71.6771,0.36599,9.23802,4.57496,0.007335,0.234745,server_036.txt
0.496108,33.0327,44.6065,33.4553,7.46267,7.84926,0.61268,35.5822,server_020.txt
0.720764,2.57181,3.16264,2.56828,0.529665,8.99287,0.43547,2.28786,srv_28.txt
0.252637,13.6195,65.7686,28.5178,13.7391,12.2885,0.540535,2.30214,srv_45.txt
0.304418,6.08877,55.8936,28.2121,11.0051,10.474,0.27069,1.11689,server_029.txt
0.406719,18.2293,24.3413,12.535,3.8064,11.8725,2.12955,2.21399,server_011.txt
0.377723,4.26471,62.9063,12.2511,10.1307,8.50565,0.082385,0.6365,server_033.txt
0.372466,7.83198,3.46254,66.984,0.70056,42.5473,0.489855,7.15225,srv_9.txt
0.298294,3.88116,61.008,22.0172,12.1334,9.86402,0.00645,0.02208,srv_16.txt
0.385485,1.3209,62.9755,11.6857,10.1618,7.93756,0.013485,0.06096,server_034.txt
0.674682,9.285,6.34211,11.8654,1.32746,1.57263,0.238815,8.18937,srv_40.txt
0.361168,3.88374,63.9321,12.2111,10.2213,8.61358,0.17006,3.63832,server_035.txt
0.42354,19.4089,25.8239,12.5035,4.0192,12.7503,2.27766,1.83731,srv_0.txt
0.520214,32.887,45.6485,33.7416,7.71077,7.55131,0.381235,35.0972,srv_34.txt
0.415317,19.6032,26.2724,12.636,4.11348,12.7549,2.3213,1.9489,server_013.txt
0.436725,17.508,25.4658,12.3778,4.09023,11.83,2.12829,2.22249,srv_7.txt
0.467606,14.5702,25.1088,12.055,3.96569,12.8961,1.63366,2.0091,srv_67.txt
0.637717,3.54724,8.98424,4.5798,2.19496,3.07047,0.16423,1.02393,client_002.txt
0.467239,15.1042,25.5222,12.2012,4.01355,11.7431,1.57145,1.92692,srv_65.txt
0.444129,10.7202,21.3978,11.1128,5.20544,5.28089,0.43947,3.16425,srv_49.txt
0.722031,2.44729,3.19185,2.42074,0.53352,9.04465,0.433065,1.92623,srv_31.txt
0.646605,2.18938,9.6805,4.43864,2.60026,3.25694,0.00269,0.008925,srv_58.txt
0.343278,13.2014,17.1107,61.8019,2.69738,44.9315,1.57112,1.43045,srv_11.txt
0.419293,19.4371,26.0549,12.5887,4.11016,12.7139,2.28947,1.91847,srv_61.txt
0.455998,5.47379,21.4894,18.5343,4.99641,15.2361,0.155705,2.76097,client_008.txt
0.438532,11.9866,21.4025,11.931,5.24485,5.1766,0.39207,3.79105,srv_48.txt
0.409479,20.7272,26.3265,13.3796,4.12148,12.9039,2.53022,1.88888,srv_60.txt
0.426583,10.025,25.6586,13.0308,6.7525,6.30236,0.28672,2.63461,srv_47.txt
0.46554,15.1433,25.4865,12.3275,3.97637,12.9479,1.5879,2.04315,srv_4.txt
,,,,,,,,script_for_rename.sh
0.449607,32.7509,42.3136,32.9167,7.0933,8.10924,0.97051,37.2015,server_017.txt
0.306775,4.73634,57.4395,28.1876,11.3581,10.2909,0.14556,0.19248,srv_71.txt
0.403025,14.9391,25.5391,13.2418,4.79754,5.02459,0.431475,2.87627,srv_50.txt
0.307583,5.49495,56.4714,27.1359,11.1172,10.0166,0.13717,0.09522,srv_14.txt
,,,,,,,,info_extractor.py
0.460629,33.2062,42.5071,33.6967,7.14782,7.98717,0.84562,30.0694,server_019.txt
0.419553,18.4433,25.2938,12.2336,4.07732,12.3106,2.26572,2.17862,srv_69.txt
0.458336,15.1696,25.5228,12.1083,3.85073,11.905,1.65507,1.97951,srv_3.txt
0.515225,9.05469,16.4163,8.26492,2.99563,3.12507,0.389505,1.80457,srv_54.txt
0.306235,5.49545,56.7243,24.6293,11.1786,10.5611,0.31075,0.75123,srv_19.txt
0.301288,3.25167,60.6236,21.9047,12.0737,9.85397,0.006115,0.02183,srv_72.txt
0.462712,15.1044,25.1923,12.1589,3.96881,12.8449,1.71368,2.09353,srv_66.txt
0.323274,6.58338,49.7613,18.4969,9.55165,8.84251,0.044275,0.521355,server_025.txt
0.723189,2.69709,3.28732,2.68301,0.547285,9.0416,0.437025,2.31446,srv_29.txt
0.621683,6.08693,9.62862,6.80216,1.65075,2.19497,0.07219,3.86886,client_003.txt
0.393906,16.827,22.4361,28.9827,3.56161,23.5457,2.05138,1.66377,server_009.txt
0.463454,15.2181,25.7573,12.2908,4.03885,13.0682,1.59628,1.9362,srv_5.txt
0.334628,7.84424,48.0783,19.044,9.13976,8.94887,0.056965,0.84698,server_024.txt
0.61205,2.55124,11.2106,5.20299,3.00709,3.52685,0.003675,0.01135,srv_59.txt
0.724072,2.54086,3.21889,2.51693,0.53748,9.03223,0.432645,2.22813,srv_30.txt
0.301428,2.94137,60.6055,21.8384,12.071,9.80475,0.00592,0.043915,server_032.txt
0.601249,3.23676,13.1988,6.4757,4.08771,4.4988,0.26548,0.6886,srv_56.txt
0.649916,0.00126,29.9477,0.00255,8.43077,3.7187,2.5,0.000425,server_015.txt
0.350499,15.1655,19.8355,40.7402,3.28187,30.308,2.02692,2.36397,server_004.txt
0.366715,15.4733,19.2066,13.7775,3.12486,9.32479,1.64722,3.49951,server_003.txt
0.300326,3.36444,60.6553,21.9142,12.0808,9.82949,0.007465,0.021045,srv_17.txt
0.45508,15.2421,25.6464,12.2161,3.87377,12.8372,1.70285,2.02657,srv_62.txt
0.60112,3.75466,12.6251,6.47529,4.19086,4.70016,0.3675,1.1377,srv_57.txt
0.516216,32.8893,45.4011,33.7459,7.6713,7.49608,0.374285,33.9365,server_021.txt
0.332997,16.6545,42.2919,22.5933,8.25389,9.11634,0.593955,1.07737,srv_42.txt
0.305981,6.62399,55.7347,28.5688,10.9349,10.3574,0.27721,0.83828,srv_18.txt
0.556325,5.30359,5.97973,10.2463,1.19741,5.69109,0.079485,2.99033,client_001.txt
0.516926,33.2091,45.646,33.8117,7.71359,7.62193,0.3651,34.0057,server_022.txt
0.522039,32.9945,45.525,33.7545,7.70153,7.58749,0.39039,34.895,srv_39.txt
0.302498,5.23866,57.5072,23.8456,11.3207,10.7225,0.27487,1.05271,server_031.txt
